,Day of Sighting,State,City,Summary,Date,code,Direction,Time,Authority Advised,Route,Location,Altitude,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
1797,,CALIFORNIA,SAN FRANCISCO,"PRELIM INFO FROM FAA OPS: SAN FRANCISCO, CA/UAS SIGHTING/0727P/NORCAL TRACON ADVISED, E75L, BFL - SFO, REPORTED UAS 200 FEET BELOW THEIR 12 O'CLOCK POSITION WHILE NNW BOUND AT 8,400 FEET 35 SE SFO. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",2023-10-08,SFO,NNW BOUND,0727P,NORCAL TRACON,BFL - SFO,35 SE SFO,"AT 8,400 FEET",KSFO,large_airport,San Francisco International Airport,13.0,,US,US-CA,San Francisco,KSFO,SFO,KSFO,SFO,"37.619806, -122.374821"
1799,,GEORGIA,ATLANTA,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS SIGHTING/1601E/ATLANTA TRACON ADVISED, BOMBARDIER CL60, REPORTED A UAS 50 FEET FROM THE ACFT WHILE NNW BOUND AT 4,000 FEET 27 ENE ATL. NO EVASIVE ACTION TAKEN. WALNUT GROVE PD NOTIFIED.",2023-10-08,ATL,NNW BOUND,1601E,ATLANTA TRACON,,27 ENE ATL,"AT 4,000 FEET",KATL,large_airport,Hartsfield Jackson Atlanta International Airport,1026.0,,US,US-GA,Atlanta,KATL,ATL,KATL,ATL,"33.6367, -84.428101"
1800,,COLORADO,EAGLE,"PRELIM INFO FROM FAA OPS: EAGLE, CO/UAS SIGHTING/1502M/ASPEN APCH ADVISED, DIAMOND DA40, REPORTED A UAS BELOW ACFT WHILE ESE BOUND AT 10,500 FEET 11 WSW RED TABLE VOR (DBL). NO EVASIVE ACTION TAKEN. EAGLE COUNTY SHERIFF WAS NOTIFIED.",2023-10-08,RED,ESE BOUND,1502M,ASPEN APCH,,11 WSW RED TABLE VOR (DBL),"AT 10,500 FEET",KRVL,small_airport,Mifflin County Airport,819.0,,US,US-PA,Reedsville,KRVL,RED,KRVL,RVL,"40.6773986816, -77.6268005371"
1801,,CALIFORNIA,BAKERSFIELD,"PRELIM INFO FROM FAA OPS: BAKERSFIELD, CA/UAS SIGHTING/1414P/OAKLAND ARTCC ADVISED, B737, NZY - NLC, REPORTED A RED UAS 1,000 FEET ABOVE THEIR 11 O'CLOCK POSITION WHILE WSW BOUND AT 7,000 FEET 45 NW SHAFTER VORTAC (EHF). NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",2023-10-08,NZY,WSW BOUND,1414P,OAKLAND ARTCC,NZY - NLC,45 NW SHAFTER VORTAC (EHF),"AT 7,000 FEET",KNZY,medium_airport,North Island Naval Air Station-Halsey Field,26.0,,US,US-CA,San Diego,KNZY,NZY,KNZY,NZY,"32.69919968, -117.2149963"
1802,,WISCONSIN,MADISON,"PRELIM INFO FROM FAA OPS: MADISON, WI/UAS SIGHTING/1636C/MADISON ATCT ADVISED, CESSNA C182, REPORTED A UAS AT THE 9 O'CLOCK POSITION WHILE NW BOUND AT 1,800 FEET 3 SE MSN. NO EVASIVE ACTION TAKEN. MADISON PD NOTIFIED.",2023-10-08,MSN,NW BOUND,1636C,MADISON ATCT,,3 SE MSN,"AT 1,800 FEET",KMSN,medium_airport,Dane County Regional Truax Field,887.0,,US,US-WI,Madison,KMSN,MSN,KMSN,MSN,"43.1399, -89.337502"
1803,,MARYLAND,EASTON,"PRELIM INFO FROM FAA OPS: EASTON, MD/UAS SIGHTING/1753E/EASTON FCT ADVISED, PIPER P28A, ESN - ESN, REPORTED A UAS AT 700 FEET 1 S ESN. NO EVASIVE ACTION TAKEN. EASTON PD NOTIFIED.",2023-10-08,ESN,,1753E,EASTON FCT,ESN - ESN,1 S ESN,AT 700 FEET,KESN,small_airport,Easton Airport / Newnam Field,72.0,,US,US-MD,Easton,KESN,ESN,KESN,ESN,"38.804199, -76.069"
1804,,VERMONT,BURLINGTON,"PRELIM INFO FROM FAA OPS: BURLINGTON, VT/UAS SIGHTING/1808E/BURLINGTON ATCT ADVISED, DIAMOND DA40, REPORTED A UAS WHILE NE BOUND AT 1,000 FEET 18 NE BTV. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",2023-10-08,BTV,NE BOUND,1808E,BURLINGTON ATCT,,18 NE BTV,"AT 1,000 FEET",KBTV,medium_airport,Burlington International Airport,335.0,,US,US-VT,South Burlington,KBTV,BTV,KBTV,BTV,"44.471901, -73.153297"
1805,,NORTH CAROLINA,CHARLOTTE,"PRELIM INFO FROM FAA OPS: CHARLOTTE, NC/UAS SIGHTING/1850E/CHARLOTTE ATCT ADVISED, A321, CLT - RSW, REPORTED A WHITE UAS WHILE S BOUND AT 5,000 FEET 10 ENE CLT. NO EVASIVE ACTION TAKEN. LANCASTER SHERIFF NOTIFIED.",2023-10-09,CLT,S BOUND,1850E,CHARLOTTE ATCT,CLT - RSW,10 ENE CLT,"AT 5,000 FEET",KCLT,large_airport,Charlotte Douglas International Airport,748.0,,US,US-NC,Charlotte,KCLT,CLT,KCLT,CLT,"35.2140007019043, -80.94309997558594"
1806,,COLORADO,DENVER,"PRELIM INFO FROM FAA OPS: DENVER, CO/UAS SIGHTING/1446M/DENVER TRACON ADVISED, BEECH BE33, REPORTED A UAS 500 FEET OFF WING WHILE N BOUND AT 900 FEET 20 NW DENVER. NO EVASIVE ACTION REPORTED. NO LEO NOTIFICATION REPORTED.",2023-10-10,OFF,N BOUND,1446M,DENVER TRACON,,20 NW DENVER,AT 900 FEET,KOFF,medium_airport,Offutt Air Force Base,1052.0,,US,US-NE,Omaha,KOFF,OFF,KOFF,OFF,"41.119307, -95.90851"
1807,,ARIZONA,PHOENIX,"PRELIM INFO FROM FAA OPS: PHOENIX, AZ/UAS SIGHTING/1750M/DEER VALLEY FCT ADVISED, BOMBARDIER CL30, PSP - DVT, REPORTED A UAS WHILE E BOUND AT 2,800 FEET 3 NE DVT. NO EVASIVE ACTION TAKEN. PHX ARPT PD NOTIFIED.",2023-10-10,DVT,E BOUND,1750M,DEER VALLEY FCT,PSP - DVT,3 NE DVT,"AT 2,800 FEET",KDVT,small_airport,Phoenix Deer Valley Airport,1478.0,,US,US-AZ,Phoenix,KDVT,DVT,KDVT,DVT,"33.6883010864, -112.083000183"
1808,,NEW JERSEY,WRIGHTSTOWN,"PRELIM INFO FROM FAA OPS: WRIGHTSTOWN, NJ/UAS SIGHTING/1141E/MCGUIRE ATCT ADVISED, BOMBARDIER CL60, BLM - ALB, REPORTED A RED UAS WHILE S BOUND AT 2,000 FEET 4 SW BLM. NO EVASIVE ACTION TAKEN. NO LEO NOTIFICATION REPORTED.",2023-10-11,RED,S BOUND,1141E,MCGUIRE ATCT,BLM - ALB,4 SW BLM,"AT 2,000 FEET",KRVL,small_airport,Mifflin County Airport,819.0,,US,US-PA,Reedsville,KRVL,RED,KRVL,RVL,"40.6773986816, -77.6268005371"
1809,,GEORGIA,ATLANTA,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS SIGHTING/1522E/ATLANTA TRACON ADVISED, CESSNA C172, REPORTED A WHITE UAS WHILE W BOUND AT 4,500 FEET 5 N ATL. NO EVASIVE ACTION TAKEN. FULTON COUNTY PD NOTIFIED.",2023-10-11,ATL,W BOUND,1522E,ATLANTA TRACON,,5 N ATL,"AT 4,500 FEET",KATL,large_airport,Hartsfield Jackson Atlanta International Airport,1026.0,,US,US-GA,Atlanta,KATL,ATL,KATL,ATL,"33.6367, -84.428101"
1810,,OREGON,PORTLAND,"PRELIM INFO FROM FAA OPS: PORTLAND, OR/UAS SIGHTING/1734P/PORTLAND TRACON ADVISED, MD11, SDF - PDX, REPORTED A UAS WHILE E BOUND AT 3,000 FEET 12 ESE PDX. NO EVASIVE ACTION TAKEN. PORTLAND PD NOTIFIED.",2023-10-11,PDX,E BOUND,1734P,PORTLAND TRACON,SDF - PDX,12 ESE PDX,"AT 3,000 FEET",KPDX,large_airport,Portland International Airport,31.0,,US,US-OR,Portland,KPDX,PDX,KPDX,PDX,"45.588699, -122.598"
1811,,NEW JERSEY,TETERBORO,"PRELIM INFO FROM FAA OPS: TETERBORO, NJ/UAS SIGHTING/1641E/TETERBORO ATCT ADVISED, BOMBARDIER GLEX, TEB - MKE, REPORTED BLACK UAS AT UNKN ALTITUDE WHILE SW BOUND AT 1,500 FEET 2.5 W TEB. NO EVASIVE ACTION TAKEN. TETERBORO AIRPORT PD NOTIFIED.",2023-10-12,MKE,SW BOUND,1641E,TETERBORO ATCT,"BOMBARDIER GLEX, TEB - MKE",,"AT 1,500 FEET",KMKE,large_airport,General Mitchell International Airport,723.0,,US,US-WI,Milwaukee,KMKE,MKE,KMKE,MKE,"42.947201, -87.896599"
1812,,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1805E/NEW YORK TRACON ADVISED, MOONEY M20T, REPORTED A RED UAS AT THE 12 O'CLOCK POSITION WHILE SW BOUND AT 4,000 FEET 5 SW JFK. NO EVASIVE ACTION TAKEN. NEW YORK PD AVIATION UNIT NOTIFIED.",2023-10-12,RED,SW BOUND,1805E,NEW YORK TRACON,,5 SW JFK,"AT 4,000 FEET",KRVL,small_airport,Mifflin County Airport,819.0,,US,US-PA,Reedsville,KRVL,RED,KRVL,RVL,"40.6773986816, -77.6268005371"
1813,,UTAH,OGDEN,"PRELIM INFO FROM FAA OPS: OGDEN, UT/UAS SIGHTING/2010M/SALT LAKE CITY TRACON ADVISED, B739, PDX - SLC, REPORTED A BLUE-WHITE UAS 50 FEET ABOVE THE 10 O'CLOCK POSITION WHILE SSE BOUND AT 9,800 FEET 8 S HIF. NO EVASIVE ACTION TAKEN. SALT LAKE CITY ARPT PD NOTIFIED.",2023-10-12,HIF,SSE BOUND,2010M,SALT LAKE CITY TRACON,PDX - SLC,8 S HIF,"AT 9,800 FEET",KHIF,medium_airport,Hill Air Force Base,4789.0,,US,US-UT,Ogden,KHIF,HIF,KHIF,HIF,"41.12403, -111.973086"
1814,,TEXAS,DALLAS-FORT WORTH,"PRELIM INFO FROM FAA OPS: DALLAS-FORT WORTH, TX/UAS SIGHTING/2137C/DFW ATCT ADVISED, BEECH B190, LBB - DFW, REPORTED A UAS FROM THE 9 O'CLOCK POSITION WHILE SE BOUND AT 1,100 FEET 3 NW MAVERICK VOR. NO EVASIVE ACTION TAKEN. DFW DPS NOTIFIED.",2023-10-12,LBB,SE BOUND,2137C,DFW ATCT,LBB - DFW,3 NW MAVERICK VOR,"AT 1,100 FEET",KLBB,medium_airport,Lubbock Preston Smith International Airport,3282.0,,US,US-TX,Lubbock,KLBB,LBB,KLBB,LBB,"33.663601, -101.822998"
1815,,KENTUCKY,LOUISVILLE,"PRELIM INFO FROM FAA OPS: LOUISVILLE, KY/UAS SIGHTING/0940E/BROWN FIELD ATCT ADVISED, CESSNA C172, REPORTED A UAS FROM BELOW WHILE ENE BOUND AT 1,500 FEET 2 E LOU. NO EVASIVE ACTION TAKEN. OLDHAM COUNTY SHERIFF NOTIFIED.",2023-10-13,LOU,ENE BOUND,0940E,BROWN FIELD ATCT,,2 E LOU,"AT 1,500 FEET",KLOU,medium_airport,Bowman Field,546.0,,US,US-KY,Louisville,KLOU,LOU,KLOU,LOU,"38.2280006409, -85.6636962891"
1816,,DELAWARE,WILMINGTON,"PRELIM INFO FROM FAA OPS: WILMINGTON, DE/UAS SIGHTING/1246E/WILMINGTON ATCT ADVISED, GULFSTREAM GLF6, REPORTED A UAS 500 FEET BELOW ACFT WHILE N BOUND AT 2,000 FEET 4 SE ILG. NO EVASIVE ACTION TAKEN. DELAWARE ST PD NOTIFIED.",2023-10-13,ILG,N BOUND,1246E,WILMINGTON ATCT,,4 SE ILG,"AT 2,000 FEET",KILG,medium_airport,Wilmington Airport,80.0,,US,US-DE,Wilmington,KILG,ILG,KILG,ILG,"39.678699, -75.606499"
1817,,UTAH,SALT LAKE CITY,"PRELIM INFO FROM FAA OPS: SALT LAKE CITY, UT/UAS SIGHTING/1358M/SALT LAKE CITY ATCT ADVISED, E75L, SUN - SLC, REPORTED A UAS FROM THE 9 O'CLOCK POSITION WHILE S BOUND AT 6,000 FEET 3 N WASATCH VOR. NO EVASIVE ACTION TAKEN. NO LEO NOTIFICATION PROVIDED.",2023-10-13,SUN,S BOUND,1358M,SALT LAKE CITY ATCT,SUN - SLC,3 N WASATCH VOR,"AT 6,000 FEET",KSUN,medium_airport,Friedman Memorial Airport,5318.0,,US,US-ID,Hailey,KSUN,SUN,KSUN,SUN,"43.50439835, -114.2959976"
1818,,TEXAS,SAN ANTONIO,"PRELIM INFO FROM FAA OPS: SAN ANTONIO, TX/UAS SIGHTING/1625C/SAN ANTONIO ATCT ADVISED, CESSNA C560, SAT - DZB, REPORTED A BLUE UAS FROM THE 3 O'CLOCK POSITION WHILE NE BOUND AT 3,500 FEET 4 SW SAT. NO EVASIVE ACTION TAKEN. SAN ANTONIO CITY PD NOTIFIED.",2023-10-13,SAN,NE BOUND,1625C,SAN ANTONIO ATCT,SAT - DZB,4 SW SAT,"AT 3,500 FEET",KSAN,large_airport,San Diego International Airport,17.0,,US,US-CA,San Diego,KSAN,SAN,KSAN,SAN,"32.7336006165, -117.190002441"
1819,,LOUISIANA,NEW ORLEANS,"PRELIM INFO FROM FAA OPS: NEW ORLEANS, LA/UAS SIGHTING/1110C/NEW ORLEANS ATCT ADVISED, BEECHCRAFT BE58, REPORTED A BLACK UAS FROM THE 12 O'CLOCK POSITION WHILE NW BOUND AT 2,600 FEET 3 SE HARVEY VOR (HRV).  NO EVASIVE ACTION TAKEN. PLAQUEMINE PARISH SHERIFF NOTIFIED.",2023-10-14,NEW,NW BOUND,1110C,NEW ORLEANS ATCT,,3 SE HARVEY VOR (HRV),"AT 2,600 FEET",KNEW,medium_airport,Lakefront Airport,8.0,,US,US-LA,New Orleans,KNEW,NEW,KNEW,NEW,"30.042400360107, -90.028297424316"
1820,,NEVADA,LAS VEGAS,"PRELIM INFO FROM FAA OPS: LAS VEGAS, NV/UAS SIGHTING/1357P/LAS VEGAS TRACON ADVISED, LEARJET 45, REPORTED A BLUE UAS AT THE 10 O'CLOCK POSITION WHILE NE BOUND AT 13,000 FEET 13 E LAS. NO EVASIVE ACTION TAKEN. LAS VEGAS PD NOTIFIED.",2023-10-14,LAS,NE BOUND,1357P,LAS VEGAS TRACON,,13 E LAS,"AT 13,000 FEET",KLAS,large_airport,Harry Reid International Airport,2181.0,,US,US-NV,Las Vegas,KLAS,LAS,KLAS,LAS,"36.083361, -115.151817"
1821,,TEXAS,LONGVIEW,"PRELIM INFO FROM FAA OPS: LONGVIEW, TX/UAS SIGHTING/1630C/LONGVIEW ATCT ADVISED, CESSNA C152, GGG - GGG, REPORTED A WHITE UAS AT 2,000 FEET 5 W GGG. NO EVASIVE ACTION TAKEN. NO LEO NOTIFIED.",2023-10-14,GGG,,1630C,LONGVIEW ATCT,GGG - GGG,5 W GGG,"AT 2,000 FEET",KGGG,medium_airport,East Texas Regional Airport,365.0,,US,US-TX,Longview,KGGG,GGG,KGGG,GGG,"32.38399887084961, -94.71150207519531"
1822,,CALIFORNIA,HAYWARD,"PRELIM INFO FROM FAA OPS: HAYWARD, CA/UAS SIGHTING/2008E/HAYWARD FCT ADVISED, CESSNA C152, REPORTED A ORANGE UAS FROM THE 3 O'CLOCK POSITION WHILE E BOUND AT 600 FEET VCNTY HWD. NO EVASIVE ACTION TAKEN. HAYWARD PD NOTIFIED.",2023-10-14,HWD,E BOUND,2008E,HAYWARD FCT,,,AT 600 FEET,KHWD,small_airport,Hayward Executive Airport,52.0,,US,US-CA,Hayward,KHWD,HWD,KHWD,HWD,"37.659198761, -122.122001648"
1823,,FLORIDA,FORT LAUDERDALE,"PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/1108E/FORT LAUDERDALE ATCT ADVISED, B38M, FLL - MSY, REPORTED A WHITE UAS 100 FEET FROM THE ACFT WHILE W BOUND AT 1,900 FEET 3 E FLL. NO EVASIVE ACTION TAKEN. BROWARD COUNTY SHERIFF'S OFFICE NOTIFIED.",2023-10-15,FLL,W BOUND,1108E,FORT LAUDERDALE ATCT,FLL - MSY,3 E FLL,"AT 1,900 FEET",KFLL,large_airport,Fort Lauderdale Hollywood International Airport,9.0,,US,US-FL,Fort Lauderdale,KFLL,FLL,KFLL,FLL,"26.072599, -80.152702"
1824,,FLORIDA,FORT LAUDERDALE,"PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/1108E/FORT LAUDERDALE ATCT ADVISED, B38M, FLL - MSY, REPORTED A UAS FROM THE LEFT SIDE WHILE W BOUND AT 1,900 FEET 3 W FORT LAUDERDALE. NO EVASIVE ACTION TAKEN. BROWARD COUNTY PD NOTIFIED.",2023-10-15,FLL,W BOUND,1108E,FORT LAUDERDALE ATCT,FLL - MSY,3 W FORT LAUDERDALE,"AT 1,900 FEET",KFLL,large_airport,Fort Lauderdale Hollywood International Airport,9.0,,US,US-FL,Fort Lauderdale,KFLL,FLL,KFLL,FLL,"26.072599, -80.152702"
1825,,CALIFORNIA,LOS ANGELES,"PRELIM INFO FROM FAA OPS: LOS ANGELES, CA/UAS SIGHTING/0822P/LOS ANGELES ATCT ADVISED, A21N, MCO - LAX, REPORTED A SILVER QUADCOPTER UAS OFF THE LEFT SIDE AT 500 FEET WHILE WSW BOUND .75 ENE LAX. NO EVASIVE ACTION TAKEN. LAW ENFORCEMENT NOTIFIED.",2023-10-15,LAW,WSW BOUND,0822P,LOS ANGELES ATCT,MCO - LAX,,AT 500 FEET,KLAW,medium_airport,Lawton Fort Sill Regional Airport,1110.0,,US,US-OK,Lawton,KLAW,LAW,KLAW,LAW,"34.567699, -98.416603"
1826,,FLORIDA,FORT LAUDERDALE,"PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/1257E/FORT LAUDERDALE ATCT ADVISED, A320, FLL - AVL, REPORTED A WHITE UAS AT SAME ALTITUDE FROM THE 9 O'CLOCK POSITION WHILE W BOUND AT 1,500 FEET 5 W FLL. NO EVASIVE ACTION TAKEN. BROWARD COUNTY SHERIFF'S OFFICE NOTIFIED.",2023-10-15,FLL,W BOUND,1257E,FORT LAUDERDALE ATCT,FLL - AVL,5 W FLL,"AT 1,500 FEET",KFLL,large_airport,Fort Lauderdale Hollywood International Airport,9.0,,US,US-FL,Fort Lauderdale,KFLL,FLL,KFLL,FLL,"26.072599, -80.152702"
1827,,COLORADO,DENVER,"PRELIM INFO FROM FAA OPS: DENVER, CO/UAS SIGHTING/1356M/DENVER TRACON ADVISED, B789, TOKYO, JAPAN (RJAA) - DEN, REPORTED A SILVER UAS 700 FEET BELOW THE 11 O'CLOCK POSITION WHILE S BOUND AT 10,700 FEET 6 SSW DEN. NO EVASIVE ACTION TAKEN. DIA POLICE DEPT NOTIFIED.",2023-10-15,DEN,S BOUND,1356M,DENVER TRACON,"TOKYO, JAPAN (RJAA) - DEN",6 SSW DEN,"AT 10,700 FEET",KDEN,large_airport,Denver International Airport,5431.0,,US,US-CO,Denver,KDEN,DEN,KDEN,DEN,"39.861698150635, -104.672996521"
1828,,CALIFORNIA,EL MONTE,"PRELIM INFO FROM FAA OPS: EL MONTE, CA/UAS SIGHTING/1328P/EL MONTE ATCT ADVISED, EXPERIMENTAL VAN'S RV7, LGB - CCR, REPORTED A BLACK UAS AT SAME ALTITUDE FROM THE 3 O'CLOCK POSITION WHILE NNW BOUND AT FL260, 3 SSE EMT. NO EVASIVE ACTION TAKEN. LOCAL LEO HELO NOTIFIED.",2023-10-15,CCR,NNW BOUND,1328P,EL MONTE ATCT,LGB - CCR,3 SSE EMT,,KCCR,medium_airport,Buchanan Field,26.0,,US,US-CA,Concord,KCCR,CCR,KCCR,CCR,"37.9897, -122.056999"
1829,,LOUISIANA,LAFAYETTE,"PRELIM INFO FROM FAA OPS: LAFAYETTE, LA/LASER INCIDENT/1720C/LAFAYETTE ATCT REPORTED, CESSNA C25B, REPORTED A UAS FROM THE 3 O'CLOCK POSITION WHILE NE BOUND AT 1,200 FEET 2 SW LFT. NO EVASIVE ACTION TAKEN. LAFAYETTE SHERIFF OFFICE NOTIFIED.",2023-10-15,LFT,NE BOUND,1720C,,,2 SW LFT,"AT 1,200 FEET",KLFT,medium_airport,Lafayette Regional Airport,42.0,,US,US-LA,Lafayette,KLFT,LFT,KLFT,LFT,"30.205299, -91.987602"
1830,,NEW JERSEY,TETERBORO,"PRELIM INFO FROM FAA OPS: TETERBORO, NJ/UAS SIGHTING/1924E/TETERBORO ATCT ADVISED, GULFSTREAM AEROSPACE GLF5, OXC - TEB, REPORTED A UAS FROM THE 2 O'CLOCK POSITION WHILE NE BOUND AT 1,500 FEET 6 WSW TEB. NO EVASIVE ACTION TAKEN. NEWARK PD NOTIFIED.",2023-10-15,OXC,NE BOUND,1924E,TETERBORO ATCT,OXC - TEB,6 WSW TEB,"AT 1,500 FEET",KOXC,small_airport,Waterbury Oxford Airport,726.0,,US,US-CT,Oxford,KOXC,OXC,KOXC,OXC,"41.47859954834, -73.135200500488"
1831,,NEW MEXICO,ALBUQUERQUE,"PRELIM INFO FROM FAA OPS: ALBUQUERQUE, NM/UAS SIGHTING/0934M/ALBUQUERQUE TRACON ADVISED, C30J, REPORTED A BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE ESE BOUND AT 13,500 FEET 40 ESE ABQ. NO EVASIVE ACTION TAKEN. NEW MEXICO STATE PD NOTIFIED.",2023-10-16,ABQ,ESE BOUND,0934M,ALBUQUERQUE TRACON,,40 ESE ABQ,"AT 13,500 FEET",KABQ,large_airport,Albuquerque International Sunport,5355.0,,US,US-NM,Albuquerque,KABQ,ABQ,KABQ,ABQ,"35.039976, -106.608925"
1832,,CALIFORNIA,SACRAMENTO,"PRELIM INFO FROM FAA OPS: SACRAMENTO, CA/UAS SIGHTING/1355P/MATHER FCT ADVISED, CESSNA C152, REPORTED A UAS FROM THE 3'OCLOCK POSITION WHILE NE BOUND AT 1,000 FEET 1 ME MHR. NO INJURIES REPORTED. SAC COUNTY SHERIFF NOTIFIED.",2023-10-16,SAC,NE BOUND,1355P,MATHER FCT,,,"AT 1,000 FEET",KSAC,medium_airport,Sacramento Executive Airport,24.0,,US,US-CA,Sacramento,KSAC,SAC,KSAC,SAC,"38.5125007629, -121.492996216"
1833,,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/0905E/NEW YORK TRACON ADVISED, A21N, JFK - DEN, REPORTED A UAS FROM THE 10 O'CLOCK POSITION WHILE SW BOUND AT 1,500 FEET .5 NE CANARSIE VOR (CRI). NO EVASIVE ACTION TAKEN. NEW YORK PD NOTIFIED.",2023-10-17,DEN,SW BOUND,0905E,NEW YORK TRACON,JFK - DEN,,"AT 1,500 FEET",KDEN,large_airport,Denver International Airport,5431.0,,US,US-CO,Denver,KDEN,DEN,KDEN,DEN,"39.861698150635, -104.672996521"
1834,,FLORIDA,FORT LAUDERDALE,"PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/1106E/FORT LAUDERDALE ATCT ADVISED, A321, ATL - FLL, REPORTED A WHITE UAS FROM THEIR 3 O'CLOCK POSITION WHILE W BOUND AT 6,000 FEET VCNTY FLL. NO EVASIVE ACTION TAKEN. BROWARD COUNTY SHERIFF'S OFFICE NOTIFIED.",2023-10-17,ATL,W BOUND,1106E,FORT LAUDERDALE ATCT,ATL - FLL,,"AT 6,000 FEET",KATL,large_airport,Hartsfield Jackson Atlanta International Airport,1026.0,,US,US-GA,Atlanta,KATL,ATL,KATL,ATL,"33.6367, -84.428101"
1835,,GEORGIA,SAVANNAH,"PRELIM INFO FROM FAA OPS: SAVANNAH, GA/UAS SIGHTING/1050E/JACKSONVILLE ARTCC ADVISED, A319, CLT - DAB, REPORTED A SILVER/BLACK UAS AT THE 9 O'CLOCK POSITION WHILE NW BOUND AT FL218 70 NE SAV. NO EVASIVE ACTION TAKEN. ST. GEORGE PD NOTIFIED.",2023-10-17,SAV,NW BOUND,1050E,JACKSONVILLE ARTCC,CLT - DAB,70 NE SAV,,KSAV,large_airport,Savannah Hilton Head International Airport,50.0,,US,US-GA,Savannah,KSAV,SAV,KSAV,SAV,"32.127602, -81.202103"
1836,,FLORIDA,TALLAHASSEE,"PRELIM INFO FROM FAA OPS: TALLAHASSEE, FL/UAS SIGHTING/1020E/JACKSONVILLE ARTCC ADVISED, PIPER PA32, APF - TLH, REPORTED A WHITE AND GRAY UAS 400 FEET BELOW ACFT WHILE NW BOUND AT 8,500 FEET 21.3 N PERRY-FOLEY APRT. NO EVASIVE ACTION TAKEN. TAYLOR COUNTY SHERIFFS OFFICE NOTIFIED.",2023-10-18,APF,NW BOUND,1020E,JACKSONVILLE ARTCC,APF - TLH,,"AT 8,500 FEET",KAPF,medium_airport,Naples Municipal Airport,8.0,,US,US-FL,Naples,KAPF,APF,KAPF,APF,"26.1525993347, -81.7752990723"
1837,,OHIO,COLUMBUS,"PRELIM INFO FROM FAA OPS: COLUMBUS, OH/UAS SIGHTING/1245E/COLUMBUS ATCT ADVISED, A21N, LAX - CMH, REPORTED A UAS 1,000 FEET BELOW ACFT WHILE N BOUND AT 5,000 FEET 5.7 S COLUMBUS.  NO EVASIVE ACTION TAKEN. LAW ENFORCEMENT WAS NOT NOTIFIED.",2023-10-18,CMH,N BOUND,1245E,COLUMBUS ATCT,LAX - CMH,,"AT 5,000 FEET",KCMH,large_airport,John Glenn Columbus International Airport,815.0,,US,US-OH,Columbus,KCMH,CMH,KCMH,CMH,"39.998001, -82.891899"
1838,,NEW JERSEY,TETERBORO,"PRELIM INFO FROM FAA OPS: TETERBORO, NJ/UAS SIGHTING/1711E/TETERBORO ATCT ADVISED, EMBRAER E545, PNE - TEB, REPORTED A RED UAS AT THE 3 O'CLOCK POSITION WHILE S BOUND AT 500 FEET 1 N TEB. NO EVASIVE ACTION TAKEN. ARPT OPERATIONS NOTIFIED.",2023-10-18,PNE,S BOUND,1711E,TETERBORO ATCT,PNE - TEB,1 N TEB,AT 500 FEET,KPNE,medium_airport,Northeast Philadelphia Airport,120.0,,US,US-PA,Philadelphia,KPNE,PNE,KPNE,PNE,"40.082406, -75.010614"
1839,,NEW YORK,FARMINGDALE,"PRELIM INFO FROM FAA OPS: FARMINGDALE, NY/UAS SIGHTING/1747E/REPUBLIC ATCT ADVISED, PARO, UNKN - FRG, REPORTED A RED UAS WHILE ESE BOUND AT 500 FEET 1 SSE FRG. NO EVASIVE ACTION TAKEN. SUFFOLK COUNTY PD NOTIFIED.",2023-10-18,FRG,ESE BOUND,1747E,REPUBLIC ATCT,"PARO, UNKN - FRG",1 SSE FRG,AT 500 FEET,KFRG,medium_airport,Republic Airport,82.0,,US,US-NY,Farmingdale,KFRG,FRG,KFRG,FRG,"40.7288017273, -73.4133987427"
1840,,FLORIDA,CROSS CITY,"PRELIM INFO FROM FAA OPS: CROSS CITY, FL/UAS SIGHTING/LATE REPORT 10-18 2303E/JACKSONVILLE ARTCC ADVISED, B738, ORD - MIA, WAS ILLUMINATED BY A GREEN LASER FROM THE 11 O'CLOCK POSITION WHILE S BOUND AT FL370 30 NNW CTY. NO INJURIES REPORTED. COLUMBIA COUNTY SHERIFF NOTIFIED.",2023-10-18,MIA,S BOUND,,JACKSONVILLE ARTCC,ORD - MIA,30 NNW CTY,,KMIA,large_airport,Miami International Airport,8.0,,US,US-FL,Miami,KMIA,MIA,KMIA,MIA,"25.79319953918457, -80.29060363769531"
