,Unnamed: 0,Date,State,City,Summary,Source File,code,Direction,Time,Authority Advised,Route,Location,Altitude,latitude,longitude
5239,5239,3/25/2021,ARIZONA,CASA GRANDE,"PRELIM INFO FROM FAA OPS: CASA GRANDE, AZ/UAS INCIDENT/LATE REPORT-1613M/ALBUQUERQUE ARTCC ADVISED , 2/F35, REPORTED A LARGE WHITE UAS WHILE N BOUND AT FL240 35 SSE STANFIELD VORTAC. THE OBJECT WHICH APPEARED TO BE STATIONARY WAS DESCRIBED AS A SMALL GA AIRCRAFT OR A VERY LARGE UAS. NO EVASIVE ACTION TAKEN. TOHONO O'ODHAM NATION POLICE WAS NOTIFIED.",FY2021_Q2_UAS_Sightings.xlsx,,N BOUND,,ALBUQUERQUE ARTCC,,35 SSE STANFIELD VORTAC,,,
5240,5240,3/25/2021,ARIZONA,BUCKEYE,"PRELIM INFO FROM FAA OPS: BUCKEYE, AZ/UAS INCIDENT/LATE REPORT-1615M/ALBUQUERQUE ARTCC ADVISED , 2/F35, REPORTED SMALL UAS WHILE SE BOUND AT FL220 20 NNW BUCKEYE VOR. NO EVASIVE ACTION TAKEN. MARICOPA COUNTY SHERIFF NOTIFIED.",FY2021_Q2_UAS_Sightings.xlsx,,SE BOUND,,ALBUQUERQUE ARTCC,,20 NNW BUCKEYE VOR,,,
5244,5244,3/26/2021,CALIFORNIA,SANTA ROSA,"PRELIM INFO FROM FAA OPS: SANTA ROSA, CA/UAS INCIDENT/1300P/SANTA ROSA ATCT ADVISED , BELL B407, REPORTED 2 WHITE QUAD-COPTER UAS 100 FEET ABOVE HELO WHILE E BOUND AT 1,000 FEET 3.4 E SANTA ROSA. NO EVASIVE ACTION TAKEN. SONOMA COUNTY SHERIFF NOTIFIED.",FY2021_Q2_UAS_Sightings.xlsx,,E BOUND,1300P,SANTA ROSA ATCT,,,"AT 1,000 FEET",,
5246,5246,3/26/2021,CALIFORNIA,PALO ALTO,"PRELIM INFO FROM FAA OPS: PALO ALTO, CA/UAS INCIDENT/1618P/PALO ALTO ATCT ADVISED , EUROCOPTER EC35, REPORTED SILVER UAS 200 FEET BELOW ACFT WHILE N BOUND AT 1200 2 NW PALO ALTO. NO EVASIVE ACTION REPORTED. PALO ALTO PD NOTIFIED.",FY2021_Q2_UAS_Sightings.xlsx,,N BOUND,1618P,PALO ALTO ATCT,,2 NW PALO ALTO,,,
5268,5268,3/28/2021,ARIZONA,PHOENIX,"PRELIM INFO FROM FAA OPS: PHOENIX, AZ/UAS INCIDENT/1515M/PHOENIX DEER VALLEY ATCT ADVISED , BELL B407, REPORTED A GOLD UAS 300 FEET ABOVE ACFT WHILE N BOUND AT 200 FEET 3 S PHOENIX DEER VALLEY ARPT. NO EVASIVE ACTION REPORTED. LEO NOTIFICATION NOT PROVIDED.",FY2021_Q2_UAS_Sightings.xlsx,,N BOUND,1515M,PHOENIX DEER VALLEY ATCT,,3 S PHOENIX DEER VALLEY ARPT,AT 200 FEET,,
5283,5283,3/29/2021,ARIZONA,GRAND CANYON,"PRELIM INFO FROM FAA OPS: GRAND CANYON, AZ/UAS INCIDENT/1605M/GRAND CANYON ATCT ADVISED , EUROCOPTER EC35, REPORTED WHITE QUADCOPTER UAS FLYING UNDERNEATH ACFT WHILE E BOUND AT 3,000 FEET 4 N GRAND CANYON. NATIONAL PARK SERVICE DISPATCH NOTIFIED.",FY2021_Q2_UAS_Sightings.xlsx,,E BOUND,1605M,GRAND CANYON ATCT,,4 N GRAND CANYON,"AT 3,000 FEET",,
5293,5293,3/30/2021,NORTH CAROLINA,GREENSBORO,"PRELIM INFO FROM FAA OPS: GREENSBORO, NC/UAS INCIDENT/1851E/GREENSBORO ATCT ADVISED , P8, REPORTED SMALL UAS WHILE EAST BOUND AT 500 FEET 2.5 SE OF GREENSBORO. NO EVASIVE ACTION TAKEN. GUILFORD COUNTY SHERIFF NOTIFIED.",FY2021_Q2_UAS_Sightings.xlsx,,EAST BOUND,1851E,GREENSBORO ATCT,,,AT 500 FEET,,
5314,5314,2023-01-04 00:00:00,FLORIDA,JACKSONVILLE,"PRELIM INFO FROM FAA OPS: JACKSONVILLE, FL/UAS SIGHTING/LATE REPORT-1845E/NAVY JACKSONVILLE ATCT ADVISED, H60, REPORTED UAS AT 400-450 FEET OVER THE DOWNTOWN JACKSONVILLE BRIDGE. LEO WAS NOTIFIED. NO FURTHER INFORMATION AVAILABLE.",fy23-q2.xlsx,,,,NAVY JACKSONVILLE ATCT,,,,,
5344,5344,2023-01-17 00:00:00,NEW YORK,CALVERTON,"PRELIM INFO FROM FAA OPS: CALVERTON, NY/UAS SIGHTING/LATE REPORT-1331E/NEW YORK TRACON ADVISED, CESSNA C172, REPORTED A BLUE UAS WHILE W BOUND AT 1,500 FEET 5 NNW CALVERTON VOR. NO EVASIVE ACTION TAKEN. SUFFOLK COUNTY PD NOTIFIED.",fy23-q2.xlsx,,W BOUND,,NEW YORK TRACON,,5 NNW CALVERTON VOR,"AT 1,500 FEET",,
5366,5366,2023-01-26 00:00:00,OKLAHOMA,OKLAHOMA CITY,"PRELIM INFO FROM FAA OPS: OKLAHOMA CITY, OK/UAS SIGHTING/LATE REPORT - 1732C/OKLAHOMA TRACON ADVISED, AIRBUS AS50, REPORTED GREY QUADCOPTER UAS 1,400 FEET BELOW ACFT WHILE N BOUND AT 1,900 FEET 4 WNW WILL ROGER VORTAC (IRW). NO EVASIVE ACTION TAKEN. OKLAHOMA CITY AVIATION UNIT NOTIFIED.",fy23-q2.xlsx,,N BOUND,,OKLAHOMA TRACON,,4 WNW WILL ROGER VORTAC (IRW),"AT 1,900 FEET",,
5391,5391,2023-02-04 00:00:00,ARIZONA,PHOENIX,"PRELIM INFO FROM FAA OPS: PHOENIX, AZ/UAS SIGHTING/1329M/PHOENIX TRACON ADVISED, CESSNA C206, REPORTED UAS AT SAME ALTITUDE WHILE N BOUND AT 650 FEET 1 N PHOENIX VOR (PXR). NO EVASIVE ACTION TAKEN. NO IMPACT TO ARPT OPS REPORTED. PHOENIX ARPT PD NOTIFIED.",fy23-q2.xlsx,,N BOUND,1329M,PHOENIX TRACON,,1 N PHOENIX VOR (PXR),AT 650 FEET,,
5397,5397,2023-02-09 00:00:00,TEXAS,HOUSTON,"PRELIM INFO FROM FAA OPS: HOUSTON, TX/UAS SIGHTING/2210C/HOUSTON TRACON ADVISED, HELO, REPORTED A UAS WHILE N BOUND AT 600 FEET 10 SW HUMBLE VORTAC. NO EVASIVE ACTION TAKEN. LEOS NOTIFIED.",fy23-q2.xlsx,,N BOUND,2210C,HOUSTON TRACON,,10 SW HUMBLE VORTAC,AT 600 FEET,,
5421,5421,2023-02-13 00:00:00,NORTH CAROLINA,RALEIGH/DURHAM,"PRELIM INFO FROM FAA OPS: RALEIGH/DURHAM, NC/UAS SIGHTING/0930E/RALEIGH-DURHAM ATCT ADVISED, PIPER P28A, WHILE SOUTHEAST BOUND AT 3,500 FEET OBSERVED A GRAY UAS HOVERING AT APPROX 2,000 FEET. NO EVASIVE ACTION REPORTED. DURHAM COUNTY SHERIFF NOTIFIED.",fy23-q2.xlsx,,SOUTHEAST BOUND,0930E,,,,"AT 3,500 FEET",,
5438,5438,2023-02-15 00:00:00,ARIZONA,GLENDALE,"PRELIM INFO FROM FAA OPS: GLENDALE, AZ/UAS SIGHTING/1414M/LUKE AFB ATCT ADVISED, F16, REPORTED BLACK UAS AT 3,000 FEET WHILE NE BOUND DESCENDING TO 3,100 FEET 5 S LUKE AFB. NO EVASIVE ACTION REPORTED. MARICOPA COUNTY SHERIFF NOTIFIED.",fy23-q2.xlsx,,NE BOUND,1414M,LUKE AFB ATCT,,5 S LUKE AFB,"AT 3,000 FEET",,
5479,5479,2023-02-24 00:00:00,OREGON,NEWBERG,"PRELIM INFO FROM FAA OPS: NEWBERG, OR/UAS SIGHTING/0120P/SEATTLE ARTCC ADVISED, PILATUS PC12, REPORTED A UAS FROM THE 9 O'CLOCK POSITION WHILE SE BOUND AT 7,000 FEET 34 SSE NEWBERG VOR. NO INJURIES REPORTED. SALEM PD NOTIFIED.",fy23-q2.xlsx,,SE BOUND,0120P,SEATTLE ARTCC,,34 SSE NEWBERG VOR,"AT 7,000 FEET",,
5483,5483,2023-02-24 00:00:00,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS SIGHTING/1805E/CHARLESTON ATCT ADVISED, DIAMOND DA40, OBSERVED A QUAD-COPTER UAS AT 1,000 FEET WHILE ON 3.5 MILE FINAL TO RUNWAY3. NO EVASIVE ACTION REPORTED. CHARLESTON COUNTY NON-EMERGENCY WAS NOTIFIED.",fy23-q2.xlsx,,,1805E,CHARLESTON ATCT,,,"AT 1,000 FEET",,
5502,5502,2023-03-01 00:00:00,CALIFORNIA,MERCED,"PRELIM INFO FROM FAA OPS: MERCED, CA/UAS SIGHTING/1232P/ATWATER ATCT ADVISED, P3, REPORTED A UAS FROM THE 10 O'CLOCK POSITION WHILE NW BOUND AT 1,400 FEET 15 NW EL NIDO VOR. NO EVASIVE ACTION TAKEN. MERCED SHERIFF DEPT NOTIFIED.",fy23-q2.xlsx,,NW BOUND,1232P,ATWATER ATCT,,15 NW EL NIDO VOR,"AT 1,400 FEET",,
5651,5651,2017-07-04 14:46:00,Florida,ORLANDO,"PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS INCIDENT/1446E/CESSNA C172 OBSERVED BLACK UAS 5 NORTH ORLANDO AT 1,300 FEET. NO EVASIVE ACTION TAKEN. UNKN IF LEO NOTIFIED. 

",FY2017_Q4_De-identification_Redaction_11192017.xlsx,,,1446E,,,5 NORTH ORLANDO,,,
5656,5656,2017-07-04 21:30:00,Washington,SEATTLE,"PRELIM INFO FROM FAA OPS: SEATTLE, WA/UAS INCIDENT/2130P/AIRLIFT3, HELO, WHILE ON THE GROUND AT SEATTLE-HARBORVIEW MEDICAL CENTER OBSERVED AN UNKN TYPE OF UAS NORTH OF A BRIDGE ON I-90 (APROX 3 E DOWNTOWN SEATTLE). UNKN IF LOCAL LEO NOTIFIED. 

",FY2017_Q4_De-identification_Redaction_11192017.xlsx,,,2130P,,,3 E DOWNTOWN SEATTLE),,,
5675,5675,2017-07-06 14:00:00,Massachusetts,SOUTHBRIDGE,"PRELIM INFO FROM FAA OPS: SOUTHBRIDGE, MA/UAS INCIDENT/1400E/BRADLEY TRACON REPORTED CESSNA C185 OBSERVED A WHITE 3 FEET IN DIAMETER UAS GOING OPPOSITE DIRECTION WHILE SOUTHBOUND AT 6,200 FEET 4 NE SOUTHBRIDGE MUNICIPAL ARPT. NO EVASIVE ACTION REPORTED. CT STATE PD NOTIFIED.
",FY2017_Q4_De-identification_Redaction_11192017.xlsx,,,1400E,,,4 NE SOUTHBRIDGE MUNICIPAL ARPT,"AT 6,200 FEET",,
5695,5695,2017-07-09 13:05:00,South Dakota,SIOUX FALLS,"PRELIM INFO FROM FAA OPS: SIOUX FALLS, SD/UAS INCIDENT/1305C/SIOUX FALLS ATCT ADVISED EUROCOPTER BK17 REPORTED A WHITE QUAD-COPTER UAS 50 FEET BELOW ACFT WHILE W BOUND BETWEEN 600 - 700 FEET 5.5 SSE SIOUX FALLS. NO EVASIVE ACTION TAKEN. SIOUX FALLS PD NOTIFIED.

",FY2017_Q4_De-identification_Redaction_11192017.xlsx,,W BOUND,1305C,SIOUX FALLS ATCT,,,,,
5797,5797,2017-07-23 16:26:00,Oregon,GRANTS PASS,"PRELIM INFO FROM FAA OPS: GRANTS PASS, OR/UAS INCIDENT/1626P/FIRE GROUND CREWS WORKING A FIRE REPORTED A WHITE UAS MANEUVERING WITHIN 500 - 700 FEET OF BELL UH1. PIC NEVER OBSERVED THE UAS. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. 
",FY2017_Q4_De-identification_Redaction_11192017.xlsx,,,1626P,,,,,,
5804,5804,2017-07-25 09:34:00,Oregon,KLAMATH FALLS,"PRELIM INFO FROM FAA OPS: KLAMATH FALLS, OR/UAS INCIDENT/0934P/KLAMATH FALLS ATCT ADVISES CESSNA C182 REPORTED A UAS WITH A LIGHT AT SAME ALTITUDE OF 5,000 FEET 5 W KLAMATH FALLS. NO EVASIVE ACTION REPORTED. KLAMATH COUNTY SHERIFF NOTIFIED.
",FY2017_Q4_De-identification_Redaction_11192017.xlsx,,,0934P,,,5 W KLAMATH FALLS,,,
5811,5811,2017-07-25 19:27:00,Illinois,ROCKFORD,"PRELIM INFO FROM FAA OPS: ROCKFORD, IL/UAS INCIDENT/1927C/ROCKFORD ATCT REPORTED HELO OBSERVED A SMALL QUAD-COPTER WHILE EASTBOUND AT 1,800 FEET, 2 E ROCKFORD. NO EVASIVE ACTION TAKEN. ROCKFORD PD NOTIFIED.
",FY2017_Q4_De-identification_Redaction_11192017.xlsx,,,1927C,,,2 E ROCKFORD,,,
5942,5942,2017-08-13 15:05:00,California,CAMARILLO,"PRELIM INFO FROM FAA OPS: CAMARILLO, CA/UAS INCIDENT/1505P/POINT MUGU APPROACH ADVISES CESSNA C172 REPORTED A UAS ABOVE ACFT ALTITUDE OF 7,500 FEET 15 E CAMARILLO. NO EVASIVE ACTION REPORTED. VENTURA COUNTY SHERIFF NOTIFIED.

",FY2017_Q4_De-identification_Redaction_11192017.xlsx,,,1505P,,,15 E CAMARILLO,,,
5961,5961,2017-08-15 22:00:00,Texas,HOUSTON,"PRELIM INFO FROM FAA OPS: HOUSTON,TX/UAS INCIDENT/2200C/HELICOPTER REPORTED A UAS VCNTY HOUSTON. EVASIVE ACTION TAKEN. HOUSTON PD NOTIFIED.

",FY2017_Q4_De-identification_Redaction_11192017.xlsx,,,2200C,,,,,,
5972,5972,2017-08-18 16:28:00,Illinois,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1628C/CHICAGO EXECUTIVE ATCT ADVISED GULFSTREAM G280 REPORTED A UAS ABOVE THE ACFT AT 2,000 FEET. ACFT WAS NNW BOUND AT UNKN ALTITUDE 1.5 NW CHICAGO EXECUTIVE ARPT. NO EVASIVE ACTION TAKEN. LEO WAS NOT NOTIFIED.

",FY2017_Q4_De-identification_Redaction_11192017.xlsx,,,1628C,CHICAGO EXECUTIVE ATCT,,,,,
6093,6093,2017-09-04 15:05:00,Florida,PUNTA GORDA,"PRELIM INFO FROM FAA OPS: PUNTA GORDA, FL/UAS INCIDENT/1505E/FORT MYERS TRACON ADVISED CESSNA C172 REPORTED A WHITE QUAD-COPTER AT 3,500 FEET WHILE HEADING NORTHWEST BOUND 15 E PUNTA GORDA ARPT. NO EVASIVE ACTION TAKEN. CHARLOTTE COUNTY SHERIFF DEPT. NOTIFIED.

",FY2017_Q4_De-identification_Redaction_11192017.xlsx,,,1505E,FORT MYERS TRACON,,15 E PUNTA GORDA ARPT,"AT 3,500 FEET",,
6174,6174,2017-09-18 11:06:00,Pennsylvania,YARDLEY,"PRELIM INFO FROM FAA OPS: YARDLEY, PA/UAS INCIDENT/1106E/WASHINGTON ARTCC ADVISED CRJ2 REPORTED A FAST MOVING, BLACK, UAS PASS JUST BENEATH ACFT AT 13,000 FEET WHILE NE BOUND 22 SW YARDLY, PA. NO EVASIVE ACTION REPORTED. LEOS NOT NOTIFIED. 

",FY2017_Q4_De-identification_Redaction_11192017.xlsx,,NE BOUND,1106E,WASHINGTON ARTCC,,,"AT 13,000 FEET",,
6255,6255,2023-04-02 00:00:00,PENNSYLVANIA,HARRISBURG,"PRELIM INFO FROM FAA OPS: HARRISBURG, PA/UAS SIGHTING/1350E/HARRISBURG ATCT ADVISED, 00 FEET 12 WSW HARRISBURG VORTAC. NO EVASIVE ACTION REPORTED. LEO NOTIFICATION NOT REPORTED.",fy23-q3.xlsx,,,1350E,HARRISBURG ATCT,,12 WSW HARRISBURG VORTAC,,,
6297,6297,2023-04-10 00:00:00,MISSISSIPPI,MADISON,"PRELIM INFO FROM FAA OPS: MADISON, MS/UAS SIGHTING/1158C/JACKSON ATCT ADVISED, EUROCOPTER EC45, UNKN - FLOWOOD, MS (MS90), REPORTED A YELLOW QUAD-MOTOR UAS WHILE E BOUND AT 1,500 FEET 5 SSE MAGNOLIA VORTAC. NO EVASIVE ACTION REPORTED. FLOWOOD POLICE NOTIFIED.",fy23-q3.xlsx,,E BOUND,1158C,JACKSON ATCT,UNKN - FLOWOOD,5 SSE MAGNOLIA VORTAC,"AT 1,500 FEET",,
6303,6303,2023-04-13 00:00:00,COLORADO,DENVER,"PRELIM INFO FROM FAA OPS: DENVER, CO/UAS SIGHTING/1008M/DENVER TRACON ADVISED, PIPER P28A, REPORTED A GREY UAS 200 FEET ABOVE ACFT AT THE 1 O'CLOCK POSITION WHILE S BOUND AT 8,100 FEET 27 NNW ROCKY MOUNTAIN METRO ARPT. NO EVASIVE ACTION REPORTED. DENVER ARPT OPS CENTER NOTIFIED.",fy23-q3.xlsx,,S BOUND,1008M,DENVER TRACON,,27 NNW ROCKY MOUNTAIN METRO ARPT,"AT 8,100 FEET",,
6360,6360,2023-04-21 00:00:00,CALIFORNIA,WILLIAMS,"PRELIM INFO FROM FAA OPS: WILLIAMS, CA/UAS SIGHTING/1545P/OAKLAND ARTCC ADVISED, CESSNA C172, REPORTED A WHITE UAS WITH A FEDEX LOGO CAME WITHIN 200 FEET OF ACFT, WHILE N BOUND AT 4,500 FEET 20 W WILLIAMS VORTAC. NO EVASIVE ACTION TAKEN. COLUSA COUNT SHERIFF NOTIFIED.",fy23-q3.xlsx,,N BOUND,1545P,OAKLAND ARTCC,,20 W WILLIAMS VORTAC,"AT 4,500 FEET",,
6431,6431,2023-05-04 00:00:00,COLORADO,COLORADO SPRINGS,"PRELIM INFO FROM FAA OPS: COLORADO SPRINGS, CO/UAS SIGHTING/1039M/COLORADO SPRINGS ATCT ADVISED, PIPER P28A, REPORTED A BLACK UAS FROM THE 12 O'CLOCK POSITION WHILE S BOUND AT 7,200 FEET 10 WSW BLACK FOREST VOR. NO EVASIVE ACTION TAKEN. COLORADO SPRINGS PD NOTIFIED.",fy23-q3.xlsx,,S BOUND,1039M,COLORADO SPRINGS ATCT,,10 WSW BLACK FOREST VOR,"AT 7,200 FEET",,
6441,6441,2023-05-05 00:00:00,VIRGINIA,HERNDON,"PRELIM INFO FROM FAA OPS: HERNDON, VA/UAS SIGHTING/1937E/POTOMAC TRACON ADVISED, CESSNA C172, REPORTED A GREY UAS AT THE 9 O'CLOCK POSITION WHILE W BOUND AT 2,500 FEET 14 NNE ARMEL VOR. NO EVASIVE ACTION TAKEN. MONTGOMERY COUNTY PD NOTIFIED.",fy23-q3.xlsx,,W BOUND,1937E,POTOMAC TRACON,,14 NNE ARMEL VOR,"AT 2,500 FEET",,
6492,6492,2023-05-13 00:00:00,NEW YORK,DEER PARK,"PRELIM INFO FROM FAA OPS: DEER PARK, NY/UAS SIGHTING/1559E/REPUBLIC ATCT ADVISED, PIPER P28A, REPORTED A WHITE TRIANGULAR UAS AT THE 12 O'CLOCK POSITION WHILE SW BOUND AT 1,100 FEET 6 W DEER PARK VOR (DPK). NO EVASIVE ACTION TAKEN. SCPD AVIATION UNIT NOTIFIED.",fy23-q3.xlsx,,SW BOUND,1559E,REPUBLIC ATCT,,6 W DEER PARK VOR (DPK),"AT 1,100 FEET",,
6498,6498,2023-05-14 00:00:00,WEST VIRGINIA,MARTINSBURG,"PRELIM INFO FROM FAA OPS: MARTINSBURG, WV/UAS SIGHTING/1148E/POTOMAC TRACON ADVISED, BEECH BE35, REPORTED UAS AT UNKN ALTITUDE 1 NE MARTINSBURG. NO EVASIVE ACTION REPORTED. BERKLEY COUNTY SHERIFF  NOTIFIED.",fy23-q3.xlsx,,,1148E,POTOMAC TRACON,,1 NE MARTINSBURG,,,
6571,6571,2023-05-22 00:00:00,PENNSYLVANIA,READING,"CLOSE-OUT INFO FROM FAA OPS: READING, PA/UAS SIGHTING/1950E/HARRISBURG APCH ADVISED, CESSNA C72R, BERN TOWNSHIP PD NOTIFIED.",fy23-q3.xlsx,,,1950E,HARRISBURG APCH,,,,,
6621,6621,2023-05-28 00:00:00,NEW JERSEY,WASHINGTON TOWNSHIP,"PRELIM INFO FROM FAA OPS: WASHINGTON TOWNSHIP, NJ/UAS SIGHTING/1158E/NEW YORK TRACON ADVISED, PIPER P28R, REPORTED A UAS FROM THE 10 O'CLOCK POSITION WHILE W BOUND AT 8,000 FEET 3 E BROADWAY VOR. NO EVASIVE ACTION TAKEN. NJ STATE PD NOTIFIED.",fy23-q3.xlsx,,W BOUND,1158E,NEW YORK TRACON,,3 E BROADWAY VOR,"AT 8,000 FEET",,
6645,6645,2023-06-01 00:00:00,INDIANA,BLOOMINGTON,"PRELIM INFO FROM FAA OPS: BLOOMINGTON, IN/UAS SIGHTING/1228E/HULMAN ATCT ADVISED, PIPER P32R, REPORTED A UAS 300 FEET BELOW ACFT FROM THE 11 O'CLOCK POSITION WHILE NW BOUND AT 8,000 FEET 16 WNW HOOSIER VORTAC (OOM). NO EVASIVE ACTION TAKEN. INDIANA STATE PD NOTIFIED.",fy23-q3.xlsx,,NW BOUND,1228E,HULMAN ATCT,,16 WNW HOOSIER VORTAC (OOM),"AT 8,000 FEET",,
6659,6659,2023-06-03 00:00:00,PENNSYLVANIA,PHILADELPHIA,"PRELIM INFO FROM FAA OPS: PHILADELPHIA, PA/UAS SIGHTING/1145E/NORTHEAST PHILADELPHIA ATCT ADVISED, PIPER P28A, REPORTED A UAS FROM THE 6 O'CLOCK POSITION WHILE N BOUND HOLDING SHORT RWY 6 AT TWY E1. AIRPORT SECURITY NOTIFIED. NO IMPACT TO OPERATIONS.",fy23-q3.xlsx,,N BOUND,1145E,NORTHEAST PHILADELPHIA ATCT,,,,,
6669,6669,2023-06-04 00:00:00,OHIO,BRIGGS,"PRELIM INFO FROM FAA OPS: BRIGGS, OH/UAS SIGHTING/1414E/CLEVELAND ARTCC ADVISED, BEECH BE9L, REPORTED A GRAY UAS 100 FEET FROM THE 10 O'CLOCK POSITION WHILE E BOUND AT 15,000 FEET 18 NNE BRIGGS VOR. NO EVASIVE ACTION TAKEN. SUMMIT COUNTY SHERIFF NOTIFIED.",fy23-q3.xlsx,,E BOUND,1414E,CLEVELAND ARTCC,,18 NNE BRIGGS VOR,"AT 15,000 FEET",,
6681,6681,2023-06-05 00:00:00,NORTH CAROLINA,FAYETTEVILLE,"PRELIM INFO FROM FAA OPS: FAYETTEVILLE, NC/UAS SIGHTING/0959E/FAYATEVILLE APPROACH ADVISED, CESSNA C172, OBSERVED A UAS WHILE NORTHEAST BOUND AT 3,000 FEET, 30 SW FAYATEVILLE. NO EVASIVE ACTION REPORTED. NO LEO NOTIFICATION PROVIDED.",fy23-q3.xlsx,,NORTHEAST BOUND,0959E,FAYATEVILLE APPROACH,,30 SW FAYATEVILLE,,,
6689,6689,2023-06-05 00:00:00,MARYLAND,BALTIMORE,"PRELIM INFO FROM FAA OPS: BALTIMORE, MD/UAS SIGHTING/1908E/POTOMAC TRACON ADVISED, HELO, REPORTED A QUADCOPTER UAS AT THE 11 O'CLOCK POSITION WHILE E BOUND AT 1,000 FEET 9 NNE BALTIMORE VOR. NO EVASIVE ACTION REQUIRED. BALTIMORE PD NOTIFIED.",fy23-q3.xlsx,,E BOUND,1908E,POTOMAC TRACON,,9 NNE BALTIMORE VOR,"AT 1,000 FEET",,
6701,6701,2023-06-08 00:00:00,TEXAS,DALLAS-FORT WORTH,"PRELIM INFO FROM FAA OPS: DALLAS-FORT WORTH, TX/UAS SIGHTING/1120C/DALLS FORT WORTH ATCT ADVISED, E170, REPORTED A WHITE UAS FROM THE 3 O'CLOCK POSITION WHILE S BOUND AT 1,300 FEET. NO EVASIVE ACTION REPORTED. 3 SUBSEQUENT ACFT REPORTED SAME UAS. DALLAS FORT WORTH AIRPORT PD NOTIFIED.",fy23-q3.xlsx,,S BOUND,1120C,DALLS FORT WORTH ATCT,,,,,
6706,6706,2023-06-08 00:00:00,CALIFORNIA,CAMARILLO,"PRELIM INFO FROM FAA OPS: CAMARILLO, CA/UAS SIGHTING/1230P/CAMARILLO ATCT ADVISED, PIPER P28A, REPORTED A UAS AT 3 O'CLOCK POSITION WHILE E BOUND AT 1,000 FEET 2 SE CAMARILLO. NO EVASIVE ACTION REPORTED. VENTURA COUNTY SHERIFF NOTIFIED.",fy23-q3.xlsx,,E BOUND,1230P,CAMARILLO ATCT,,2 SE CAMARILLO,"AT 1,000 FEET",,
6711,6711,2023-06-09 00:00:00,NORTH CAROLINA,GREENSBORO,"PRELIM INFO FROM FAA OPS: GREENSBORO, NC/UAS SIGHTING/1557E/GREENSBORO ATCT ADVISED, CESSNA C210, REPORTED A UAS WHILE N BOUND AT 10,000 FEET 10 S DAVIDSON. NO EVASIVE ACTION REPORTED. DAVIDSON COUNTY SHERIFF NOTIFIED.",fy23-q3.xlsx,,N BOUND,1557E,GREENSBORO ATCT,,10 S DAVIDSON,"AT 10,000 FEET",,
6722,6722,2023-06-11 00:00:00,OREGON,NEWBERG,"PRELIM INFO FROM FAA OPS: NEWBERG, OR/UAS SIGHTING/1330P/[REPORTING FACILITY] ADVISED, DIAMOND DA40, OBSERVED A UAS 800 FEET BELOW ACFT WHILE NORTHBOUND AT 900 FEET 10 ESE NEWBERG. N O EVASIVE ACTION REPORTED. CLACKAMAS COUNTY DISPATC NOTIFIED.",fy23-q3.xlsx,,,1330P,,,10 ESE NEWBERG,AT 900 FEET,,
6736,6736,2023-06-13 00:00:00,MARYLAND,BALTIMORE,"PRELIM INFO FROM FAA OPS: BALTIMORE, MD/UAS SIGHTING/2005E/POTOMAC TRACON ADVISED, EUROCOPTER EC145, REPORTED A WHITE QUADCOPTER UAS FROM THE 12 O'CLOCK POSITION WHILE N BOUND AT 4,500 FT 3 E BAL. NO EVASIVE ACTION TAKEN. BALTIMORE CITY PD NOTIFIED.",fy23-q3.xlsx,,N BOUND,2005E,POTOMAC TRACON,,3 E BAL,,,
6758,6758,2023-06-17 00:00:00,GEORGIA,ATLANTA,"CORRECTION (DUPLICATE REPORT) INFO FROM FAA OPS: ATLANTA, GA/UAS SIGHTING/1103E/DEKALB-PEACHTREE ATCT ADVISED, PIPER P28A, EVENT OCCURRED ON 6/17.",fy23-q3.xlsx,,,1103E,,,,,,
6787,6787,2023-06-19 00:00:00,PENNSYLVANIA,KEATING,"PRELIM INFO FROM FAA OPS: KEATING, PA/UAS INCIDENT/1513E/CLEVELAND ARTCC ADVISED, BEECH BE36, REPORTED A DARK COLORED FOUR ROTOR UAS WHILE ENE BOUND AT 2,400 FEET 34 W KEATING VORTAC. ACFT TURNED TO AVOID UAS. PENNSYLVANIA STATE PD NOTIFIED.",fy23-q3.xlsx,,ENE BOUND,1513E,CLEVELAND ARTCC,,34 W KEATING VORTAC,"AT 2,400 FEET",,
6799,6799,2023-06-21 00:00:00,NORTH CAROLINA,CHARLOTTE,"PRELIM INFO FROM FAA OPS: CHARLOTTE, NC/UAS SIGHTING/1646E/CHARLOTTE ATCT ADVISED, DASSAULT F2TH, REPORTED A UAS 300 FEET ABOVE THE ACFT AT 2,200 FEET WHILE ON FINAL FOR RUNWAY 36L. NO EVASIVE ACTION TAKEN. CHARLOTTE-MECKLENBURG PD NOTIFIED.",fy23-q3.xlsx,,,1646E,CHARLOTTE ATCT,,,"AT 2,200 FEET",,
