,Day of Sighting,x,y,z,State,City,Date,code,Direction,Time,Authority Advised,Route,Location,Altitude,ident,type,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates,latitude,longitude,alt_meters
2010,,173608.36681863395,-4745414.516439142,4243837.110751165,DISTRICT OF COLUMBIA,WASHINGTON,2023-12-08,ORD,SSE BOUND,1440E,NATIONAL ATCT,ORD - DCA,,AT 600 FEET,KORD,large_airport,680.0,,US,US-IL,Chicago,KORD,ORD,KORD,ORD,"41.9786, -87.9048",41.9786,-87.9048,0.0
2011,,709038.0746795931,-5188835.265628138,3628382.3726034355,VIRGINIA,DUBLIN,2023-12-08,GSP,NE BOUND,1515E,ATLANTA ARTCC,GSP - LWB,38 SW PULASKI VORTAC,"AT 14,000 FEET",KGSP,medium_airport,964.0,,US,US-SC,Greer,KGSP,GSP,KGSP,GSP,"34.895699, -82.218903",34.895699,-82.218903,0.0
2012,,1343534.376848053,-4646442.242626052,4143718.3289120435,NEW YORK,NEW YORK,2023-12-08,LGA,SSW BOUND,1455E,NEW YORK TRACON,DFW - LGA,7 NNE LGA,"AT 2,000 FEET",KLGA,large_airport,21.0,,US,US-NY,New York,KLGA,LGA,KLGA,LGA,"40.777199, -73.872597",40.777199,-73.872597,0.0
2013,,460925.7395353502,-4938452.694885477,3996525.9055521237,FLORIDA,MIAMI,2023-12-09,CVG,NW BOUND,0828E,MIAMI TRACON,CVG - MIA,10 NW MIA,"AT 3,500 FEET",KCVG,large_airport,896.0,,US,US-KY,Cincinnati / Covington,KCVG,CVG,KCVG,CVG,"39.048801, -84.667801",39.048801,-84.667801,0.0
2014,,1115637.6697473524,-4846904.561202336,3979543.755941752,DISTRICT OF COLUMBIA,WASHINGTON,2023-12-09,DCA,S BOUND,1412E,WASHINGTON NATIONAL ATCT,,8 N DCA,"AT 1,000 FEET",KDCA,large_airport,15.0,,US,US-DC,Washington,KDCA,DCA,KDCA,DCA,"38.8521, -77.037697",38.8521,-77.037697,0.0
2015,,-2729.1516836052456,-5525904.360113052,3174443.3568640826,CALIFORNIA,LOS ANGELES,2023-12-09,NEW,SW BOUND,1127P,LOS ANGELES ATCT,"AUCKLAND, NEW ZEALAND (NZAA) - LAX",8 E LAX,"AT 2,400 FEET",KNEW,medium_airport,8.0,,US,US-LA,New Orleans,KNEW,NEW,KNEW,NEW,"30.042400360107, -90.028297424316",30.042400360107,-90.028297424316,0.0
2016,,717923.5248488766,-5594508.772675662,2967714.9476155965,FLORIDA,ST PETERSBURG-CLEARWATER,2023-12-09,PIE,N BOUND,1430E,SAINT PETERSBURG ATCT,"SOCATA TAMP, PIE - UNKN",1 NW PIE,"AT 1,000 FEET",KPIE,medium_airport,11.0,,US,US-FL,Pinellas Park,KPIE,PIE,KPIE,PIE,"27.9102, -82.687401",27.9102,-82.687401,0.0
2017,,-1809999.759405166,-4484443.026800817,4144698.850798075,NEVADA,LAS VEGAS,2023-12-09,SLC,N BOUND,1645P,LAS VEGAS TRACON,SLC - LAS,12 S LAS,"AT 6,700 FEET",KSLC,large_airport,4227.0,,US,US-UT,Salt Lake City,KSLC,SLC,KSLC,SLC,"40.78886, -111.979866",40.78886,-111.979866,0.0
2018,,542058.692954754,-5479401.2018086575,3208362.9468384995,FLORIDA,TALLAHASSEE,2023-12-11,TLH,S BOUND,0748E,TALLAHASSEE ATCT,TLH - TLH,2 SW TLH,"AT 2,000 FEET",KTLH,medium_airport,81.0,,US,US-FL,Tallahassee,KTLH,TLH,KTLH,TLH,"30.3965, -84.350304",30.3965,-84.350304,0.0
2019,,-656833.8325285534,-5320307.282765238,3444354.335294477,TEXAS,LONGVIEW,2023-12-11,DFW,W BOUND,0910C,FORT WORTH ARTCC,DFW - MLU,6 ESE GGG,,KDFW,large_airport,607.0,,US,US-TX,Dallas-Fort Worth,KDFW,DFW,KDFW,DFW,"32.896801, -97.038002",32.896801,-97.038002,0.0
2020,,349546.3161680744,-4524383.0782728745,4466981.900192679,MICHIGAN,TRAVERSE CITY,2023-12-11,TVC,E BOUND,1429E,TRAVERSE CITY ATCT,TVC - TVC,3 ESE TVC,"AT 1,300 FEET",KTVC,medium_airport,624.0,,US,US-MI,Traverse City,KTVC,TVC,KTVC,TVC,"44.74140167236328, -85.58219909667969",44.74140167236328,-85.58219909667969,0.0
2021,,-5364553.20684115,3371176.114426719,-730598.8737398242,FLORIDA,DAYTONA BEACH,2023-12-11,FIN,,1826E,DAYTONA BEACH ATCT,FIN - FIN,,"AT 2,200 FEET",AYFI,small_airport,60.0,OC,PG,PG-MPL,Buki,AYFI,FIN,AYFI,FIN,"-6.621750109, 147.85405",-6.621750109,147.85405,0.0
2022,,795226.1485410878,-5442971.9515752,3217535.1496391,MASSACHUSETTS,BOSTON,2023-12-12,JAX,NW BOUND,0925E,BOSTON ATCT,JAX - BOS,1 SE BOS,AT 300 FEET,KJAX,large_airport,30.0,,US,US-FL,Jacksonville,KJAX,JAX,KJAX,JAX,"30.492469, -81.687813",30.492469,-81.687813,0.0
2023,,526289.6455515008,-5274726.415190247,3535065.860602756,GEORGIA,ATLANTA,2023-12-13,PDK,NNW BOUND,1012E,,LAL - PDK,3 SE PDK,"AT 1,800 FEET",KPDK,medium_airport,1003.0,,US,US-GA,Atlanta,KPDK,PDK,KPDK,PDK,"33.87633, -84.30213",33.87633,-84.30213,0.0
2024,,1536066.7833601383,-4463060.823658546,4275397.884263988,MASSACHUSETTS,BOSTON,2023-12-13,BOS,N BOUND,1200E,BOSTON TRACON,,5 NNW BOS,"AT 4,500 FEET",KBOS,large_airport,20.0,,US,US-MA,Boston,KBOS,BOS,KBOS,BOS,"42.36197, -71.0079",42.36197,-71.0079,0.0
2025,,-2309663.0271417983,-3652075.2855080604,4675585.693572231,WASHINGTON,EVERETT,2023-12-13,SEA,W BOUND,1040P,SEATTLE TRACON,GEG - SEA,5 S PAE,"AT 6,700 FEET",KSEA,large_airport,433.0,,US,US-WA,Seattle,KSEA,SEA,KSEA,SEA,"47.447943, -122.310276",47.447943,-122.310276,0.0
2026,,516125.3315750989,-5290570.147237747,3512967.692926994,GEORGIA,ATLANTA,2023-12-13,ATL,N BOUND,,ATLANTA TRACON,PNS - ATL,15 WSW ATL,"AT 4,500 FEET",KATL,large_airport,1026.0,,US,US-GA,Atlanta,KATL,ATL,KATL,ATL,"33.6367, -84.428101",33.6367,-84.428101,0.0
2027,,526289.6455515008,-5274726.415190247,3535065.860602756,MICHIGAN,PONTIAC,2023-12-13,PDK,,1739E,PONTIAC ATCT,,1 SW PDK,AT 100 FEET,KPDK,medium_airport,1003.0,,US,US-GA,Atlanta,KPDK,PDK,KPDK,PDK,"33.87633, -84.30213",33.87633,-84.30213,0.0
2028,,1037968.7444293384,-4731504.30423297,4135319.606695945,PENNSYLVANIA,ERIE,2023-12-13,RED,S BOUND,1740E,BUFFALO ATCT,,4 ENE ERIE VOR,"AT 1,100 FEET",KRVL,small_airport,819.0,,US,US-PA,Reedsville,KRVL,RED,KRVL,RVL,"40.6773986816, -77.6268005371",40.6773986816,-77.6268005371,0.0
2029,,-1997235.9739009072,-4922788.69650317,3517731.377885287,ARIZONA,PHOENIX,2023-12-13,DVT,NW BOUND,1642M,DEER VALLEY ATCT,,2 SE DVT,"AT 2,500 FEET",KDVT,small_airport,1478.0,,US,US-AZ,Phoenix,KDVT,DVT,KDVT,DVT,"33.6883010864, -112.083000183",33.6883010864,-112.083000183,0.0
2030,,667806.5665590948,-5219837.740713112,3591798.1014965763,FLORIDA,TAMPA,2023-12-15,AND,N BOUND,1128E,TAMPA ATCT,"TORONTO, CANADA (CYYZ) - TPA",3 SSW TPA,"AT 1,500 FEET",KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
2031,,-2417384.0923733944,-4666994.690103322,3601200.378781161,MISSOURI,SPRINGFIELD,2023-12-15,VCV,W BOUND,2045C,KANSAS CITY ARTCC,BNA - VCV,,,KVCV,small_airport,2885.0,,US,US-CA,Victorville,KVCV,VCV,KVCV,VCV,"34.597499847399995, -117.383003235",34.597499847399995,-117.383003235,0.0
2032,,516125.3315750989,-5290570.147237747,3512967.692926994,NEW YORK,NEW YORK,2023-12-16,ATL,N BOUND,0940E,NEW YORK TRACON,ATL - LGA,11 W JFK,"AT 4,500 FEET",KATL,large_airport,1026.0,,US,US-GA,Atlanta,KATL,ATL,KATL,ATL,"33.6367, -84.428101",33.6367,-84.428101,0.0
2033,,298866.773992403,-5149200.629364599,3739359.0419931416,TENNESSEE,NASHVILLE,2023-12-16,BNA,SE BOUND,0855C,MEMPHIS ARTCC,,63 ESE BNA,"AT 7,500 FEET",KBNA,large_airport,599.0,,US,US-TN,Nashville,KBNA,BNA,KBNA,BNA,"36.1245, -86.6782",36.1245,-86.6782,0.0
2034,,-2408761.4329429185,-3766764.9582643453,4533373.478949705,OREGON,PORTLAND,2023-12-16,PDX,E BOUND,1245P,PORTLAND ATCT,MSP - PDX,2 W PDX,AT 600 FEET,KPDX,large_airport,31.0,,US,US-OR,Portland,KPDX,PDX,KPDX,PDX,"45.588699, -122.598",45.588699,-122.598,0.0
2035,,1078839.8563761564,-4848629.181151537,3987526.892958427,VIRGINIA,CHANTILLY,2023-12-16,IAD,S BOUND,1605E,DULLES ATCT,ALB - IAD,,"AT 2,500 FEET",KIAD,large_airport,312.0,,US,US-VA,Dulles,KIAD,IAD,KIAD,IAD,"38.9445, -77.455803",38.9445,-77.455803,0.0
2036,,186789.82563978518,-4759206.580251619,4227910.106103081,ILLINOIS,MOLINE,2023-12-16,MDW,E BOUND,1803C,CHICAGO ARTCC,ASE - MDW,20 S MOLINE VOR,,KMDW,large_airport,620.0,,US,US-IL,Chicago,KMDW,MDW,KMDW,MDW,"41.785999, -87.752403",41.785999,-87.752403,0.0
2037,,-2508216.777454082,-4647303.301565725,3564606.1988622034,CALIFORNIA,BURBANK,2023-12-18,BUR,,0730P,BURBANK ATCT,BUR - SFO,,,KBUR,medium_airport,778.0,,US,US-CA,Burbank,KBUR,BUR,KBUR,BUR,"34.197703, -118.356378",34.197703,-118.356378,0.0
2038,,-5110109.658658024,3048341.91175649,-2289041.1642233157,FLORIDA,POMPANO BEACH,2023-12-18,MKY,S BOUND,1510E,PAMPANO ATCT,MKY - PMP,2 NE PMP,AT 800 FEET,YBMK,medium_airport,19.0,OC,AU,AU-QLD,Mackay,YBMK,MKY,YBMK,,"-21.170816, 149.182588",-21.170816,149.182588,0.0
2039,,-2433941.742821352,-3755112.1265350836,4529615.331194252,OREGON,PORTLAND,2023-12-18,HIO,NW BOUND,1634P,,,2 SE HIO,AT 700 FEET,KHIO,medium_airport,208.0,,US,US-OR,Portland,KHIO,HIO,KHIO,HIO,"45.540401, -122.949997",45.540401,-122.949997,0.0
2040,,-1241829.507731127,-4742677.971129063,4066210.206869713,COLORADO,DENVER,2023-12-19,DEN,N BOUND,1405M,DENVER TRACON,MAF - DEN,14 S DEN,"AT 11,000 FEET",KDEN,large_airport,5431.0,,US,US-CO,Denver,KDEN,DEN,KDEN,DEN,"39.861698150635, -104.672996521",39.861698150635,-104.672996521,0.0
2041,,1209785.4006655358,-4958714.080501657,3811860.277667823,VIRGINIA,NORFOLK,2023-12-19,NGU,S BOUND,1556E,NORFOLK NAVAL STATION,,1 S NGU,AT 300 FEET,KNGU,medium_airport,17.0,,US,US-VA,Norfolk,KNGU,NGU,KNGU,NGU,"36.937599, -76.289299",36.937599,-76.289299,0.0
2042,,1343534.376848053,-4646442.242626052,4143718.3289120435,NEW YORK,NEW YORK,2023-12-19,LGA,N BOUND,1635E,LA GUARDIA ATCT,,5 SW LGA,"AT 1,400 FEET",KLGA,large_airport,21.0,,US,US-NY,New York,KLGA,LGA,KLGA,LGA,"40.777199, -73.872597",40.777199,-73.872597,0.0
2043,,-637594.6339091661,-5318287.19084,3451037.6567682405,TEXAS,DALLAS,2023-12-19,ADS,SE BOUND,1550C,DALLAS FT WORTH TRACON,,27 N ADS,"AT 3,500 FEET",KADS,small_airport,644.0,,US,US-TX,Dallas,KADS,ADS,KADS,ADS,"32.9686012268, -96.8364028931",32.9686012268,-96.8364028931,0.0
2044,,734348.1481994317,-5619118.429058369,2917108.5973258344,FLORIDA,SARASOTA-BRADENTON,2023-12-20,SRQ,E BOUND,1434E,SARASOTA ATCT,,2 E SRQ,AT 100 FEET,KSRQ,large_airport,30.0,,US,US-FL,Sarasota/Bradenton,KSRQ,SRQ,KSRQ,SRQ,"27.394631, -82.554359",27.394631,-82.554359,0.0
2045,,836874.9651995656,-5557918.144150373,3004823.970220646,FLORIDA,ORLANDO,2023-12-21,ISM,NNE BOUND,1437E,CENTRAL FLORIDA TRACON,,16 W ISM,"AT 8,000 FEET",KISM,medium_airport,82.0,,US,US-FL,Orlando,KISM,ISM,KISM,ISM,"28.2898006439, -81.4371032715",28.2898006439,-81.4371032715,0.0
2046,,828585.0137935425,5703366.755878238,2723179.7542389575,TENNESSEE,NASHVILLE,2023-12-21,IXD,WSW BOUND,1341C,NASHVILLE ATCT,BNA - IXD,2 WSW BNA,"AT 2,700 FEET",VIAL,medium_airport,322.0,AS,IN,IN-UP,Allahabad,,IXD,VEAB,VEAB,"25.4401, 81.733902",25.4401,81.733902,0.0
2047,,460925.7395353502,-4938452.694885477,3996525.9055521237,KENTUCKY,COVINGTON,2023-12-21,CVG,S BOUND,1431E,CINCINNATI ATCT,VPS - CVG,3 N CVG,"AT 2,000 FEET",KCVG,large_airport,896.0,,US,US-KY,Cincinnati / Covington,KCVG,CVG,KCVG,CVG,"39.048801, -84.667801",39.048801,-84.667801,0.0
2048,,1343534.376848053,-4646442.242626052,4143718.3289120435,NEW YORK,NEW YORK,2023-12-21,LGA,N BOUND,1755E,LA GUARDIA ATCT,LGA - EYW,1 N LGA,"AT 1,500 FEET",KLGA,large_airport,21.0,,US,US-NY,New York,KLGA,LGA,KLGA,LGA,"40.777199, -73.872597",40.777199,-73.872597,0.0
2049,,-2454014.598515506,-4777046.091509876,3429143.4312611683,CALIFORNIA,SAN FRANCISCO,2023-12-21,SAN,E BOUND,1646P,NORCAL TRACON,SEA - SFO,13 ESE SFO,"AT 5,000 FEET",KSAN,large_airport,17.0,,US,US-CA,San Diego,KSAN,SAN,KSAN,SAN,"32.7336006165, -117.190002441",32.7336006165,-117.190002441,0.0
2050,,667806.5665590948,-5219837.740713112,3591798.1014965763,NORTH CAROLINA,ATLANTIC,2023-12-22,AND,,,MCAS CHERRY POINT,,,,KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
2051,,1218097.73553395,-4959579.309280915,3808110.864481857,VIRGINIA,NORFOLK,2023-12-22,ORF,ENE BOUND,1217E,NORFOLK ATCT,TPA - ORF,6 SW ORF,"AT 2,000 FEET",KORF,large_airport,26.0,,US,US-VA,Norfolk,KORF,ORF,KORF,ORF,"36.895341, -76.201",36.895341,-76.201,0.0
2052,,667806.5665590948,-5219837.740713112,3591798.1014965763,FLORIDA,FORT LAUDERDALE,2023-12-23,AND,E BOUND,1034E,MIAMI TRACON,ATL - FLL,20 W FLL,"AT 4,000 FEET",KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
2053,,1326811.6669172912,-4645742.355854818,4149845.540695492,NEW JERSEY,TETERBORO,2023-12-23,TEB,ENE BOUND,1100E,TETERBORO ATCT,,7 SW TEB,"AT 1,500 FEET",KTEB,medium_airport,9.0,,US,US-NJ,Teterboro,KTEB,TEB,KTEB,TEB,"40.850101, -74.060799",40.850101,-74.060799,0.0
2054,,980438.7272282552,-5648331.131821598,2786288.835050178,FLORIDA,FORT LAUDERDALE,2023-12-23,FLL,E BOUND,1350E,MIAMI ATCT,BWI - FLL,13 W FLL,"AT 3,600 FEET",KFLL,large_airport,9.0,,US,US-FL,Fort Lauderdale,KFLL,FLL,KFLL,FLL,"26.072599, -80.152702",26.072599,-80.152702,0.0
2055,,-2193330.55848725,-4671257.253408044,3735670.896883552,NEVADA,LAS VEGAS,2023-12-25,LAS,N BOUND,2155P,LAS VEGAS ATCT,,1 N LAS,"AT 3,00 FEET",KLAS,large_airport,2181.0,,US,US-NV,Las Vegas,KLAS,LAS,KLAS,LAS,"36.083361, -115.151817",36.083361,-115.151817,0.0
2056,,2903261.2380770277,-5678015.192414558,-108489.28787118787,TEXAS,NEW BRAUNFELS,2023-12-27,BAZ,SE BOUND,1129C,NEW BRAUNFELS FCT,BAZ - BAZ,6 NW BAZ,"AT 2,500 FEET",SWBC,small_airport,112.0,SA,BR,BR-AM,Barcelos,SWBC,BAZ,SWBC,AM0017,"-0.981191, -62.918603",-0.981191,-62.918603,0.0
2057,,173608.36681863395,-4745414.516439142,4243837.110751165,ILLINOIS,CHICAGO,2023-12-27,ORD,E BOUND,1342C,CHICAGO TRACON,"AMSTERDAM, NETHERLANDS (EHAM) - ORD",25 W ORD,"AT 5,100 FEET",KORD,large_airport,680.0,,US,US-IL,Chicago,KORD,ORD,KORD,ORD,"41.9786, -87.9048",41.9786,-87.9048,0.0
2058,,173608.36681863395,-4745414.516439142,4243837.110751165,ILLINOIS,CHICAGO,2023-12-27,ORD,E BOUND,1737C,CHICAGO TRACON,GPI - ORD,25 W ORD,"AT 5,000 FEET",KORD,large_airport,680.0,,US,US-IL,Chicago,KORD,ORD,KORD,ORD,"41.9786, -87.9048",41.9786,-87.9048,0.0
2059,,964341.0239087694,-5595223.258478385,2896139.894430847,UTAH,SALT LAKE CITY,2023-12-28,SUA,E BOUND,1014M,SALT LAKE CITY ARTCC,SLC - SUA,15 NE WASATCH VORTAC (TCH),,KSUA,small_airport,16.0,,US,US-FL,Stuart,KSUA,SUA,KSUA,SUA,"27.18169975, -80.22109985",27.18169975,-80.22109985,0.0
2060,,-2367123.3275473886,-4746261.837906993,3530770.5176263386,CALIFORNIA,PALM SPRINGS,2023-12-28,PSP,,1005P,PALM SPRINGS ATCT,SFO - PSP,,,KPSP,medium_airport,477.0,,US,US-CA,Palm Springs,KPSP,PSP,KPSP,PSP,"33.8297, -116.507004",33.8297,-116.507004,0.0
2061,,-2454014.598515506,-4777046.091509876,3429143.4312611683,TEXAS,SAN ANTONIO,2023-12-28,SAN,NW BOUND,1205C,SAN ANTONIO ATCT,SSF - SSF,42 S SAT,"AT 2,000 FEET",KSAN,large_airport,17.0,,US,US-CA,San Diego,KSAN,SAN,KSAN,SAN,"32.7336006165, -117.190002441",32.7336006165,-117.190002441,0.0
2062,,-2309663.0271417983,-3652075.2855080604,4675585.693572231,ALASKA,ANCHORAGE,2023-12-28,SEA,WNW BOUND,1142L,ANCHORAGE TRACON,SEA - ANC,10 W ANC,"AT 9,000 FEET",KSEA,large_airport,433.0,,US,US-WA,Seattle,KSEA,SEA,KSEA,SEA,"47.447943, -122.310276",47.447943,-122.310276,0.0
2063,,969124.2558051512,-5664017.281574512,2758451.8825182947,PENNSYLVANIA,YARDLEY,2023-12-29,MIA,W BOUND,0918E,PHILADELPHIA TRACON,MIA - PHL,21 SSW YRD,"AT 2,700 FEET",KMIA,large_airport,8.0,,US,US-FL,Miami,KMIA,MIA,KMIA,MIA,"25.79319953918457, -80.29060363769531",25.79319953918457,-80.29060363769531,0.0
2064,,1141653.5795305262,-4817626.109274728,4007431.145863574,MARYLAND,BALTIMORE,2023-12-29,BWI,W BOUND,1538E,POTOMAC TRACON,,15 W BWI,"AT 1,700 FEET",KBWI,large_airport,146.0,,US,US-MD,Baltimore,KBWI,BWI,KBWI,BWI,"39.1754, -76.668297",39.1754,-76.668297,0.0
2065,,-2454014.598515506,-4777046.091509876,3429143.4312611683,CALIFORNIA,SAN FRANCISCO,2023-12-29,SAN,S BOUND,1342P,SAN FRANCISCO ATCT,"EDMONTON, CANADA (CYEG) - SFO",4 N SFO,"AT 1,400 FEET",KSAN,large_airport,17.0,,US,US-CA,San Diego,KSAN,SAN,KSAN,SAN,"32.7336006165, -117.190002441",32.7336006165,-117.190002441,0.0
2066,,1343534.376848053,-4646442.242626052,4143718.3289120435,NEW YORK,NEW YORK,2023-12-29,LGA,NE BOUND,1645E,NEW YORK TRACON,RSW - LGA,5 S LGA,"AT 4,000 FEET",KLGA,large_airport,21.0,,US,US-NY,New York,KLGA,LGA,KLGA,LGA,"40.777199, -73.872597",40.777199,-73.872597,0.0
2067,,667806.5665590948,-5219837.740713112,3591798.1014965763,TEXAS,SAN ANTONIO,2023-12-30,AND,,1605C,SAN ANTONIO APCH,,8 SSW SAT,,KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
2068,,667806.5665590948,-5219837.740713112,3591798.1014965763,FLORIDA,SARASOTA-BRADENTON,2023-12-30,AND,S BOUND,1812E,SARASOTA ATCT,SRQ - SRQ,4 S SRG,AT 400 FEET,KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
2069,,1130726.1783970296,-4846358.957394069,3975972.133119252,MARYLAND,CAMP SPRINGS,2023-12-31,ADW,N BOUND,1239E,ADW,,6 N ADW,"AT 1,000 FEET",KADW,large_airport,280.0,,US,US-MD,Camp Springs,KADW,ADW,KADW,ADW,"38.810799, -76.866997",38.810799,-76.866997,0.0
2070,,-2729.1516836052456,-5525904.360113052,3174443.3568640826,LOUISIANA,NEW ORLEANS,2023-12-31,NEW,S BOUND,1233C,MSY ATCT,,4 S NEW,"AT 1,500 FEET",KNEW,medium_airport,8.0,,US,US-LA,New Orleans,KNEW,NEW,KNEW,NEW,"30.042400360107, -90.028297424316",30.042400360107,-90.028297424316,0.0
2071,,969402.6871673361,-5658392.5412636865,2769797.8146393104,FLORIDA,MIAMI,2023-12-31,OPF,W BOUND,1352E,,LRD - OPF,2 E OPF,"AT 1,000 FEET",KOPF,medium_airport,8.0,,US,US-FL,Miami,KOPF,OPF,KOPF,OPF,"25.907, -80.278397",25.907,-80.278397,0.0
2072,,-528628.2136569005,-5125841.558183765,3745979.3207071475,TEXAS,HOUSTON,2023-12-31,TUL,E BOUND,1313C,HOUSTON TRACON,TUL - IAH,2 O CLOCK POSITION WHILE E BOUND VCNTY IAH,,KTUL,large_airport,677.0,,US,US-OK,Tulsa,KTUL,TUL,KTUL,TUL,"36.19839859008789, -95.88809967041016",36.19839859008789,-95.88809967041016,0.0
2073,1/1/2021,541818.4655813433,-5149873.1698394,3711205.63543643,PENNSYLVANIA,PHILADELPHIA,,TYS,N BOUND,1250E,PHL APCH,PHL - TYS,4 NE PHL,"AT 4,000 FEET",KTYS,medium_airport,981.0,,US,US-TN,Alcoa,KTYS,TYS,KTYS,TYS,"35.811001, -83.994003",35.811001,-83.994003,0.0
2074,1/1/2021,270048.29452862026,-5495198.023791819,3215713.345088072,TENNESSEE,NASHVILLE,,PNS,SSW BOUND,1154C,NASHVILLE TRACON,"BNA - PNS, REPORTED A SMALL WHITE QUADCOPTER UAS OFF RIGHT SIDE",,AT 500 FEET,KPNS,medium_airport,121.0,,US,US-FL,Pensacola,KPNS,PNS,KPNS,PNS,"30.4734, -87.1866",30.4734,-87.1866,0.0
2075,1/1/2021,969124.2558051512,-5664017.281574512,2758451.8825182947,FLORIDA,MIAMI,,MIA,,1424E,MIAMI TRACON,"GREAT EXUMA ISLAND, BAHAMAS (MYEF) - MIA",,,KMIA,large_airport,8.0,,US,US-FL,Miami,KMIA,MIA,KMIA,MIA,"25.79319953918457, -80.29060363769531",25.79319953918457,-80.29060363769531,0.0
2076,1/1/2021,-1809999.759405166,-4484443.026800817,4144698.850798075,UTAH,SALT LAKE CITY,,SLC,S BOUND,1234M,SLC TRACON,"SLC - LOS CABOS, MEXICO (MMSD)",15 SSE SLC,"AT 1,100 FEET",KSLC,large_airport,4227.0,,US,US-UT,Salt Lake City,KSLC,SLC,KSLC,SLC,"40.78886, -111.979866",40.78886,-111.979866,0.0
2077,1/1/2021,667806.5665590948,-5219837.740713112,3591798.1014965763,FLORIDA,MIAMI,,AND,,1755E,MIAMI TRACON,,,,KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
2078,1/1/2021,339402.0197416654,-5385636.335432402,3388653.0783554385,TEXAS,DALLAS-FORT WORTH,,MGM,N BOUND,1710C,DALLAS FORT WORTH APCH,MGM - DFW,4 S DFW,"AT 1,700 FEET",KMGM,medium_airport,221.0,,US,US-AL,Montgomery,KMGM,MGM,KMGM,MGM,"32.300598, -86.393997",32.300598,-86.393997,0.0
2079,1/1/2021,-2598071.343612476,-4256156.919017293,3963572.667333494,CALIFORNIA,SACRAMENTO,,MCC,NNE BOUND,1635P,NORCAL TRACON,VCB - AUN,5 N MCC,"AT 5,200 FEET",KMCC,medium_airport,77.0,,US,US-CA,Sacramento,KMCC,MCC,KMCC,MCC,"38.667599, -121.401001",38.667599,-121.401001,0.0
2080,1/2/2021,5506080.513859715,-1086368.937580082,3020270.448406713,NORTH CAROLINA,DURHAM,,TTA,,,RDU APCH,TEB - TTA,23 S RDU,"AT 4,800 FEET",GMAT,medium_airport,653.0,AF,MA,MA-10,Tan Tan,GMAT,TTA,GMAT,,"28.448200225830078, -11.161299705505371",28.44820022583008,-11.161299705505373,0.0
2081,1/2/2021,-1277669.5847081824,-4729674.942114684,4070223.0453544273,COLORADO,DENVER,,BJC,NW BOUND,,ROCKY MOUNTAIN METRO ATCT,,,"AT 7,100 FEET",KBJC,medium_airport,5673.0,,US,US-CO,Denver,KBJC,BJC,KBJC,BJC,"39.908798, -105.116997",39.908798,-105.116997,0.0
2082,1/2/2021,-1809999.759405166,-4484443.026800817,4144698.850798075,NEW YORK,NEW YORK,,SLC,NW BOUND,1440E,NEW YORK TRACON,SLC - JFK,,"AT 1,800 FEET",KSLC,large_airport,4227.0,,US,US-UT,Salt Lake City,KSLC,SLC,KSLC,SLC,"40.78886, -111.979866",40.78886,-111.979866,0.0
2083,1/2/2021,1353884.1291000585,-4653828.513130076,4132122.5075626075,NEW YORK,NEW YORK,,JFK,NE BOUND,1430E,NEW YORK TRACON,MSY - JFK,,"AT 2,000 FEET",KJFK,large_airport,13.0,,US,US-NY,New York,KJFK,JFK,KJFK,JFK,"40.639447, -73.779317",40.639447,-73.779317,0.0
2084,1/2/2021,848189.1248197181,-5548768.681898493,3018438.2657909067,FLORIDA,ORLANDO,,MCO,,1540E,ORLANDO TRACON,EWR - MCO,,,KMCO,large_airport,96.0,,US,US-FL,Orlando,KMCO,MCO,KMCO,MCO,"28.429399490356445, -81.30899810791016",28.429399490356445,-81.30899810791016,0.0
2085,1/2/2021,1321178.1819014656,-4659228.444613047,4136591.3455323847,NEW JERSEY,TETERBORO,,EWR,SW BOUND,1545E,NEW YORK TRACON,"COPENHAGEN, DENMARK (EKCH) - EWR",,"AT 3,000 FEET",KEWR,large_airport,18.0,,US,US-NJ,Newark,KEWR,EWR,KEWR,EWR,"40.692501, -74.168701",40.692501,-74.168701,0.0
2086,1/2/2021,980438.7272282552,-5648331.131821598,2786288.835050178,NEW YORK,NEW YORK,,FLL,SSE BOUND,1550E,NEW YORK TRACON,JFK - FLL,10 S JFK,"AT 9,500 FEET",KFLL,large_airport,9.0,,US,US-FL,Fort Lauderdale,KFLL,FLL,KFLL,FLL,"26.072599, -80.152702",26.072599,-80.152702,0.0
