,Day of Sighting,State,City,Summary,Date,code,Direction,Time,Authority Advised,Route,Location,Altitude
943,8/14/2021,MISSOURI,ST LOUIS,"PRELIM INFO FROM FAA OPS: ST LOUIS, MO/UAS INCIDENT/1955C/GATEWAY TRACON ADVISED , B738, RSW - STL, REPORTED A BLACK UAS WITH RED LIGHTS AND A BLACK BOX ATTACHED PASS OFF THE RIGHT SIDE WHILE NORTHBOUND AT 8,000 FEET 6 S STL. NO EVASIVE ACTION TAKEN. ST LOUIS COUNTY PD NOTIFIED.",,STL,,1955C,GATEWAY TRACON,RSW - STL,6 S STL,"AT 8,000 FEET"
944,8/14/2021,CALIFORNIA,SAN CARLOS,"PRELIM INFO FROM FAA OPS: SAN CARLOS, CA/UAS INCIDENT/1813P/NORCAL TRACON ADVISED , B773, SEOUL, SOUTH KOREA (RKSI) - SFO, REPORTED A SILVER UAS PASS OFF THE LEFT SIDE WHILE SE BOUND AT 8,000 FEET 3 SW SAN CARLOS. NO EVASIVE ACTION TAKEN. SAN MATEO COUNTY SHERIFF NOTIFIED.",,SAN,SE BOUND,1813P,NORCAL TRACON,"SEOUL, SOUTH KOREA (RKSI) - SFO",3 SW SAN CARLOS,"AT 8,000 FEET"
945,8/14/2021,ARKANSAS,BENTON,"PRELIM INFO FROM FAA OPS: BENTON, AR/UAS INCIDENT/2020C/LITTLE ROCK TRACON ADVISED , BELL B407, REPORTED A SMALL QUAD-COPTER UAS WITH RED AND GREEN LIGHTS 50 FEET BELOW ACFT WHILE N BOUND AT 2,600 FEET 6 SE BENTON. NO INJURIES REPORTED. PULASKI COUNTY SHERIFF NOTIFIED.",,RED,N BOUND,2020C,LITTLE ROCK TRACON,,6 SE BENTON,"AT 2,600 FEET"
946,8/14/2021,TEXAS,FORT WORTH,"PRELIM INFO FROM FAA OPS: FORT WORTH, TX/UAS INCIDENT/2026C/FT WORTH MEACHAM ATCT ADVISED , ROBINSON R44, REPORTED A UAS 550 FEET BELOW HELO WHILE ORBITING AT 1,100 FEET 3.5 S FTW. NO EVASIVE ACTION TAKEN. DFW DPS NOTIFIED.",,FTW,,2026C,FT WORTH MEACHAM ATCT,,,"AT 1,100 FEET"
947,8/14/2021,HAWAII,HONOLULU,"PRELIM INFO FROM FAA OPS: HONOLULU, HI/UAS INCIDENT/1957H/HONOLULU CONTROL FACILITY (HCF) ADVISED , B38M, LAX - HNL, REPORTED 4 UAS OVER THE WATER WHILE NW BOUND AT UNKN ALTITUDE 2 SW HNL. NO EVASIVE ACTION TAKEN. HCF MOVED ARRIVALS FROM RUNWAY 4R TO RUNWAY 8L AS A PRECAUTION. HONOLULU PD NOTIFIED VIA 911.",,LAX,NW BOUND,1957H,,LAX - HNL,2 SW HNL,
948,8/15/2021,FLORIDA,ORLANDO,"PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS INCIDENT/LATE REPORT-1000E/ORLANDO ATCT ADVISED , PIPER P28A, REPORTED A BLUE UAS 300 FEET OFF THE LEFT SIDE 8 MILES W ORL. NO EVASIVE ACTION WAS TAKEN. ORANGE COUNTY SHERIFF WAS NOTIFIED. NO NUMBER PROVIDED.",,OFF,,,ORLANDO ATCT,,,
950,8/15/2021,MICHIGAN,DETROIT,"PRELIM INFO FROM FAA OPS: DETROIT, MI/UAS INCIDENT/1117E/DETROIT ATCT ADVISED , CRJ7, MDW - DTW, REPORTED A WHITE UAS FROM THE 10 O'CLOCK POSITION WHILE NE BOUND AT 2,000 FEET 4 SE DETROIT. EVASIVE ACTION NOT REPORTED. LAW ENFORCEMENT NOTIFIED.",,DTW,NE BOUND,1117E,DETROIT ATCT,MDW - DTW,4 SE DETROIT,"AT 2,000 FEET"
951,8/15/2021,CALIFORNIA,LOS ANGELES,"PRELIM INFO FROM FAA OPS: LOS ANGELES, CA/UAS INCIDENT/LATE REPORT-0928P/LOS ANGELES ARTCC ADVISED , A21N, JFK - LAX, OBSERVED A WHITE UAS OFF THE LEFT SIDE WHILE SW BOUND AT 1,500 FEET 3 NE LAX. NO EVASIVE ACTION WAS TAKEN. LAWA NOTIFIED.",,JFK,SW BOUND,,LOS ANGELES ARTCC,JFK - LAX,3 NE LAX,"AT 1,500 FEET"
952,8/15/2021,NEW JERSEY,MORRISTOWN,"PRELIM INFO FROM FAA OPS: MORRISTOWN, NJ/UAS INCIDENT/1323E/MORRISTOWN ATCT ADVISED, PILATUS PC12, REPORTED A RED UAS WHILE 10 SE MMU AT 3,200 FEET. NO EVASIVE ACTION TAKEN. NJ HOMELAND SECURITY WAS NOTIFIED. NO PHONE NUMBER PROVIDED.",,MMU,,1323E,MORRISTOWN ATCT,,10 SE MMU,
954,8/15/2021,FLORIDA,FORT MYERS,"PRELIM INFO FROM FAA OPS: FORT MYERS, FL/UAS INCIDENT/1435E/FORT MYERS ATCT ADVISED , B738, CLT - RSW, OBSERVED A UAS OFF THE LEFT SIDE WHILE SW BOUND AT 5,000 FEET 16 NE RSW. NO EVASIVE ACTION WAS TAKEN. LEE COUNTY SHERIFF NOTIFIED.",,CLT,SW BOUND,1435E,FORT MYERS ATCT,CLT - RSW,16 NE RSW,"AT 5,000 FEET"
955,8/15/2021,NEW YORK,EAST HAMPTON,"PRELIM INFO FROM FAA OPS: EAST HAMPTON, NY/UAS INCIDENT/1530E/BOSTON ARTCC ADVISED , PILATUS PC12, TEB - ACK, REPORTED EITHER A BALLOON OR UAS WHILE 10 MILES N HTO AT 15,000 FEET. NO EVASIVE ACTION TAKEN. SUFFOLK COUNTY PD WAS NOTIFIED. NO NUMBER PROVIDED.",,TEB,,1530E,BOSTON ARTCC,TEB - ACK,,
956,8/15/2021,WASHINGTON,RENTON,"PRELIM INFO FROM FAA OPS: RENTON, WA/UAS INCIDENT/1310P/SEATTLE TRACON ADVISED , CESSNA C172, OBSERVED A UAS 500 FEET BELOW WHILE N BOUND AT 3,000 FEET 3 NE RNT. NO EVASIVE ACTION WAS TAKEN. LEO NOTIFIED AT 911.",,RNT,N BOUND,1310P,SEATTLE TRACON,,3 NE RNT,"AT 3,000 FEET"
957,8/15/2021,MASSACHUSETTS,BOSTON,"PRELIM INFO FROM FAA OPS: BOSTON, MA/UAS INCIDENT/1920E/BOSTON TRACON ADVISED , A320, SAN - BOS, REPORTED A SILVER MULTIROTOR UAS 500 FEET BELOW ACFT WHILE S BOUND AT 8,000 FEET 6 NE BOSTON. NO EVASIVE ACTION TAKEN. MASSACHUSETTS PD NOTIFIED.",,SAN,S BOUND,1920E,BOSTON TRACON,SAN - BOS,6 NE BOSTON,"AT 8,000 FEET"
958,8/15/2021,CALIFORNIA,LOS ANGELES,"PRELIM INFO FROM FAA OPS: LOS ANGELES, CA/UAS INCIDENT/1652P/LAX ATCT ADVISED , B77W, RJTT - LAX, OBSERVED A UAS AT 2,000 FEET, 4 E LAX. NO EVASIVE ACTION TAKEN. LAWA ARCC NOTIFIED (NO PHONE PROVIDED).",,LAX,,1652P,LAX ATCT,RJTT - LAX,4 E LAX,
961,8/15/2021,CALIFORNIA,LOS ANGELES,"PRELIM INFO FROM FAA OPS: LOS ANGELES, CA/UAS INCIDENT/1720P/LAX ATCT ADVISED , E75L, RDM - LAX, REPORTED A WHITE UAS FROM LEFT SIDE WHILE ENE BOUND AT 1,500 FEET 3 ENE LAX. NO EVASIVE ACTION TAKEN. LAWA AARC NOTIFIED.",,LAX,ENE BOUND,1720P,LAX ATCT,RDM - LAX,3 ENE LAX,"AT 1,500 FEET"
962,8/15/2021,ARKANSAS,LITTLE ROCK,"PRELIM INFO FROM FAA OPS: LITTLE ROCK, AR/UAS INCIDENT/2236C/LITTLE ROCK ATCT ADVISED , SIKORSKY S76, REPORTED UAS AT 500 FEET WHILE W BOUND 3 W LITTLE ROCK. NO EVASIVE ACTION TAKEN. LITTLE ROCK PD NOTIFIED (NUMBER NOT PROVIDED).",,S76,W BOUND,2236C,LITTLE ROCK ATCT,,3 W LITTLE ROCK,AT 500 FEET
963,8/15/2021,GEORGIA,ATLANTA,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS INCIDENT/2041E/DEKALB-PEACHTREE ATCT ADVISED , MOONEY M20C, REPORTED BLACK AND GREY UAS FROM RIGHT SIDE WHILE SSW BOUND AT 300 FEET 1 NW PDK. NO EVASIVE ACTION TAKEN. CHAMBLEE PD NOTIFIED.",,PDK,SSW BOUND,2041E,,,1 NW PDK,AT 300 FEET
964,8/16/2021,TENNESSEE,NASHVILLE,"PRELIM INFO FROM FAA OPS: NASHVILLE, TN/UAS INCIDENT/1020C/NASHVILLE ATCT ADVISED , A321, BNA - ATL, REPORTED A BLACK UAS FROM THE 12 O'CLOCK POSITION WHILE SSW BOUND AT 500 FEET 1 NNE NASHVILLE. NO EVASIVE ACTION TAKEN. NASHVILLE ARPT PD NOTIFIED.",,BNA,SSW BOUND,1020C,NASHVILLE ATCT,BNA - ATL,1 NNE NASHVILLE,AT 500 FEET
965,8/16/2021,OREGON,PORTLAND,"PORTLAND, OR (PDX): FLNT275, C206, ORBITING 7 MILES SOUTH OF PDX AT 4500 FEET. FLNT275 $ P80 OF A DRONE AT 1000 FEET APPEARED TO BE OVER I205. FLNT275 THEN @ A CLUSTER OF BALLOONS. WHEN ASKED ABOUT THE DRONE FLNT WAS UN SURE ON WHETHER IT WAS A DRONE OR NOT. 08/16/2021 1750Z",,PDX,,,,,,AT 1000 FEET
966,8/16/2021,CONNECTICUT,DANBURY,"PRELIM INFO FROM FAA OPS: DANBURY, CT/UAS INCIDENT/1609E/DANBURY FCT ADVISED , CESSNA C152, REPORTED UAS 100 FEET OFF LEFT SIDE OF ACFT WHILE W BOUND AT 1,300 FEET .25 OFF APCH END OF RUNWAY 26. NO EVASIVE ACTION TAKEN. DANBURY ARPT PD NOTIFIED.",,OFF,W BOUND,1609E,DANBURY FCT,,,"AT 1,300 FEET"
968,8/16/2021,INDIANA,EVANSVILLE,"PRELIM INFO FROM FAA OPS: EVANSVILLE, IN/UAS INCIDENT/1702C/EVANSVILLE ATCT ADVISED FACILITY MANAGER OBSERVED UAS FROM GROUND AT 200 FEET 3 N EVV. NO IMPACT TO ARPT OPERATIONS. NO ACFT INVOLVEMENT. EVANSVILLE PD NOTIFIED VIA 911.",,EVV,,1702C,EVANSVILLE ATCT,,3 N EVV,AT 200 FEET
969,8/16/2021,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1918C/CHICAGO TRACON ADVISED , CESSNA C172, REPORTED UAS AT 12 O'CLOCK POSITION 100 FEET BELOW WHILE E BOUND AT 1,700 FEET 8 NW MDW. NO EVASIVE ACTION TAKEN. LOCAL FBI NOTIFIED.",,MDW,E BOUND,1918C,CHICAGO TRACON,,8 NW MDW,"AT 1,700 FEET"
970,8/16/2021,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS INCIDENT/2030E/JFK ATCT ADVISED , A321, SFO - JFK, OBSERVED A UAS ON RIGHT SIDE WHILE NORTHEAST BOUND AT 700 FEET 3 NW JFK. NO EVASIVE ACTION REPORTED. NY PORT AUTHORITY PD NOTIFIED.",,JFK,NORTHEAST BOUND,2030E,JFK ATCT,SFO - JFK,3 NW JFK,AT 700 FEET
971,8/17/2021,NEW YORK,FARMINGDALE,"PRELIM INFO FROM FAA OPS: FARMINGDALE, NY/UAS INCIDENT/LATE REPORT-1008E/FARMINGDALE ATCT ADVISED , PIPER P28A, REPORTED A UAS FROM THE 10 O'CLOCK POSITION WHILE N BOUND AT 1,100 FEET 3 N FRG. NO EVASIVE ACTION TAKEN. LOCAL LAW ENFORCEMENT NOTIFIED.",,FRG,N BOUND,,FARMINGDALE ATCT,,3 N FRG,"AT 1,100 FEET"
972,8/17/2021,WISCONSIN,MILWAUKEE,"PRELIM INFO FROM FAA OPS: MILWAUKEE, WI/UAS INCIDENT/1220E/MILWAUKEE, WI ATCT ADVISED , CRJ9, PHL - MKE, OBSERVED A LARGE FIXED WING FAST MOVING UAS WHILE W BOUND 100 FEET ABOVE AT 15,000 FEET 44 E MKE. NO EVASIVE ACTION WAS TAKEN. FBI NOTIFIED.",,MKE,W BOUND,1220E,,PHL - MKE,44 E MKE,"AT 15,000 FEET"
973,8/17/2021,NEW JERSEY,NEWARK,"PRELIM INFO FROM FAA OPS: NEWARK, NJ/UAS INCIDENT/1248E/NEWARK ATCT ADVISED , B752, KEFLAVÃK, ICELAND (BIKF) - EWR, REPORTED A WHITE UAS 400 FEET BELOW ACFT WHILE E BOUND AT 1,400 FEET 3 E EWR. NO EVASIVE ACTION TAKEN. PORT AUTHORITY NOTIFIED.",,EWR,E BOUND,1248E,NEWARK ATCT,ICELAND (BIKF) - EWR,3 E EWR,"AT 1,400 FEET"
974,8/17/2021,ARIZONA,GLENDALE,"PRELIM INFO FROM FAA OPS: GLENDALE, AZ/UAS INCIDENT/LATE REPORT-1016M/LUKE AIR FORCE BASE ATCT ADVISED GROUND PERSONNEL OBSERVED A UAS WITH A RED TOP OVERFLYING THE AIRFIELD AT 500 FEET. NO IMPACT TO OPERATIONS. SECURITY FORCES NOTIFIED.",,RED,,,LUKE AIR FORCE BASE ATCT,,,
975,8/17/2021,NEW JERSEY,NEWARK,"PRELIM INFO FROM FAA OPS: NEWARK, NJ/UAS INCIDENT/1434E/NEWARK ATCT ADVISED , B739, RSW - EWR, REPORTED A BLACK QUAD COPTER UAS WHILE S BOUND AT 2,000 FEET 5 NE EWR. NO EVASIVE ACTION TAKEN. AIRPORT OPERATIONS NOTIFIED. PHONE NUMBER NOT PROVIDED.",,EWR,S BOUND,1434E,NEWARK ATCT,RSW - EWR,5 NE EWR,"AT 2,000 FEET"
976,8/17/2021,MASSACHUSETTS,SPRINGFIELD-CHICOPEE,"PRELIM INFO FROM FAA OPS: SPRINGFIELD-CHICOPEE, MA/UAS INCIDENT/1725E/WESTOVER ARB ATCT ADVISED , H60, CEF - CEF, REPORTED UAS FROM FRONT WHILE N BOUND AT 1,600 FEET 3 N CEF. NO EVASIVE ACTION TAKEN. ARPT PD NOTIFIED, NUMBER NOT PROVIDED.",,CEF,N BOUND,1725E,WESTOVER ARB ATCT,CEF - CEF,3 N CEF,"AT 1,600 FEET"
977,8/17/2021,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1707C/CHICAGO TRACON ADVISED , A359, VANTAA, FINLAND - ORD, REPORTED UAS AT 2 O'CLOCK POSITION AT 8,000 FEET WHILE NW BOUND 8 SE ORD. NO EVASIVE ACTION TAKEN. OAK PARK PD NOTIFIED.",,ORD,NW BOUND,1707C,CHICAGO TRACON,"VANTAA, FINLAND - ORD",8 SE ORD,"AT 8,000 FEET"
978,8/18/2021,MISSOURI,KANSAS CITY,"PRELIM INFO FROM FAA OPS: KANSAS CITY, MO/UAS INCIDENT/1601C/MCI ATCT ADVISED , B738, DFW - MCI, REPORTED A BLACK QUADCOPTER UAS OFF THE LEFT SIDE WHILE S BOUND AT 1,100 FEET 2 MILE FINAL RUNWAY 19L. NO EVASIVE ACTION TAKEN. KANSAS CITY ARPT PD NOTIFIED.",,DFW,S BOUND,1601C,MCI ATCT,DFW - MCI,,"AT 1,100 FEET"
979,8/18/2021,TEXAS,SAN ANTONIO,"PRELIM INFO FROM FAA OPS: SAN ANTONIO, TX/UAS INCIDENT/1632C/SAN ANTONIO ATCT ADVISED , C5, REPORTED UAS 200 FEET BELOW ACFT OFF LEFT SIDE WHILE SSE BOUND AT 3,000 FEET 7 SSE KELLY FIELD. NO EVASIVE ACTION REPORTED. LEO NOT NOTIFIED.",,SAN,SSE BOUND,1632C,SAN ANTONIO ATCT,,7 SSE KELLY FIELD,"AT 3,000 FEET"
980,8/18/2021,NORTH CAROLINA,RALEIGH-DURHAM,"PRELIM INFO FROM FAA OPS: RALEIGH-DURHAM, NC/UAS INCIDENT/1805E/RALEIGH DURHAM ATCT ADVISED , RAYTHEON PRM1, SLK - RDU, REPORTED A RED UAS 1,000 FEET BELOW ACFT FROM THE 3 O'CLOCK POSITION WHILE NNW BOUND AT 4,000 FEET 10 E RDU. NO EVASIVE ACTION TAKEN. RALEIGH PD NOTIFIED.",,RDU,NNW BOUND,1805E,RALEIGH DURHAM ATCT,SLK - RDU,10 E RDU,"AT 4,000 FEET"
981,8/18/2021,TEXAS,HOUSTON,"PRELIM INFO FROM FAA OPS: HOUSTON, TX/UAS INCIDENT/1740C/IAH ATCT ADVISED , B738, LADYVILLE, BELIZE (MZBZ) - IAH, REPORTED A UAS FROM THE 3 O'CLOCK POSITION WHILE E BOUND AT 1,500 FEET 4 W IAH. NO EVASIVE ACTION TAKEN. LEO NOT NOTIFIED.",,IAH,E BOUND,1740C,IAH ATCT,"LADYVILLE, BELIZE (MZBZ) - IAH",4 W IAH,"AT 1,500 FEET"
982,8/19/2021,VIRGINIA,CHANTILLY,"PRELIM INFO FROM FAA OPS: CHANTILLY, VA/UAS INCIDENT/0829E/DULLES ATCT ADVISED , CRJ2, OGS - IAD, OBSERVED A BLACK AND WHITE UAS WHILE NORTHBOUND AT 1,400 FEET ON 4 MILE FINAL RUNWAY 19R. NO EVASIVE ACTION TAKEN. ARPT PD NOTIFIED.",,IAD,,0829E,DULLES ATCT,OGS - IAD,,"AT 1,400 FEET"
983,8/19/2021,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS INCIDENT/1030E/CHARLESTON APCH ADVISED , E75L, DCA - CHS, REPORTED A UAS FROM THE RIGHT SIDE WHILE N BOUND AT 1,000 FEET 3 E CHARLESTON. NO EVASIVE ACTION TAKEN. CHARLESTON PD NOTIFIED.",,CHS,N BOUND,1030E,CHARLESTON APCH,DCA - CHS,3 E CHARLESTON,"AT 1,000 FEET"
984,8/19/2021,CALIFORNIA,LOS ALAMITOS,"PRELIM INFO FROM FAA OPS: LOS ALAMITOS, CA/UAS INCIDENT/1338P/LOS ANGELES ARTCC ADVISED , E170, LGB - DFW, REPORTED A GREEN UAS FROM THE 3 O'CLOCK POSITION WHILE E BOUND AT 17,000 FEET 23 E LOS ALAMITOS. NO EVASIVE ACTION TAKEN. ORANGE COUNTY SHERIFF NOTIFIED.",,DFW,E BOUND,1338P,LOS ANGELES ARTCC,LGB - DFW,23 E LOS ALAMITOS,"AT 17,000 FEET"
985,8/20/2021,FLORIDA,SARASOTA,"PRELIM INFO FROM FAA OPS: SARASOTA, FL/UAS INCIDENT/1235E/TAMPA APCH ADVISED , B739, ATL - SRQ, REPORTED A QUAD-ROTOR UAS WHILE NW BOUND AT 1,500 FEET 7 SE SRQ. NO EVASIVE ACTION TAKEN. SARASOTA COUNTY SHERIFF NOTIFIED.",,ATL,NW BOUND,1235E,TAMPA APCH,ATL - SRQ,7 SE SRQ,"AT 1,500 FEET"
987,8/20/2021,NORTH CAROLINA,RALEIGH-DURHAM,"PRELIM INFO FROM FAA OPS: RALEIGH-DURHAM, NC/UAS INCIDENT/1428E/RALEIGH-DURHAM ATCT ADVISED , B738, DFW - RDU, REPORTED A BLACK QUADCOPTER UAS FROM THE RIGHT SIDE WHILE SW BOUND AT 2,200 FEET 5 NE RALEIGH-DURHAM. NO EVASIVE ACTION TAKEN. RALEIGH PD NOTIFIED.",,DFW,SW BOUND,1428E,,DFW - RDU,,"AT 2,200 FEET"
988,8/20/2021,OKLAHOMA,OKLAHOMA CITY,"PRELIM INFO FROM FAA OPS: OKLAHOMA CITY, OK/UAS INCIDENT/1442C/OKLAHOMA CITY TRACON ADVISED , TEX2, OKC - END, REPORTED A GRAY QUADCOPTER UAS 500 FEET BELOW ACFT WHILE SSW BOUND AT 5,000 FEET 16 NNE OKLAHOMA CITY. NO EVASIVE ACTION TAKEN. OKLAHOMA CITY PD AIR DIVISION NOTIFIED.",,END,SSW BOUND,1442C,OKLAHOMA CITY TRACON,OKC - END,16 NNE OKLAHOMA CITY,"AT 5,000 FEET"
989,8/20/2021,MICHIGAN,ANN ARBOR,"PRELIM INFO FROM FAA OPS: ANN ARBOR, MI/UAS INCIDENT/1655E/C-ROC ADVISED , BEECH BE35, GRR - ARB, REPORTED UAS WHILE SE BOUND AT 2,500 FEET 4 W ARB. NO EVASIVE ACTION TAKEN. NO LEO NOTIFICATION REPORTED.",,GRR,SE BOUND,1655E,,GRR - ARB,4 W ARB,"AT 2,500 FEET"
990,8/20/2021,NORTH DAKOTA,BISMARCK,"PRELIM INFO FROM FAA OPS: BISMARCK, ND/UAS INCIDENT/2212C/BISMARCK ATCT ADVISED , CESSNA C150, BIS - BIS, REPORTED A UAS FROM THE RIGHT SIDE WHILE SW BOUND AT 2,400 FEET 1 W BISMARCK. NO EVASIVE ACTION TAKEN. BISMARCK PD NOTIFIED.",,BIS,SW BOUND,2212C,BISMARCK ATCT,BIS - BIS,1 W BISMARCK,"AT 2,400 FEET"
991,8/21/2021,ARIZONA,PHOENIX,"PRELIM INFO FROM FAA OPS: PHOENIX, AZ/UAS INCIDENT/0840M/PHOENIX ATCT ADVISED , B738, MSP - PHX, OBSERVED A 4 ROTOR RED UAS AT THE 3 O'CLOCK POSITION WHILE ENE BOUND AT 3,400 FEET 6 W PHX. NO EVASIVE ACTION TAKEN. PHOENIX PD NOTIFIED.",,RED,ENE BOUND,0840M,PHOENIX ATCT,MSP - PHX,4 ROTOR RED UAS,"AT 3,400 FEET"
992,8/21/2021,NEVADA,LAS VEGAS,"PRELIM INFO FROM FAA OPS: LAS VEGAS, NV/UAS INCIDENT/0930P/LAS VEGAS TRACON ADVISED , BEECH BE36, VGT - CRQ, REPORTED A WHITE 4 ROTOR UAS 100 FEET BELOW ACFT WHILE S BOUND AT 7,000 FEET 3 N LAS. NO EVASIVE ACTION TAKEN. LAS VEGAS METRO PD NOTIFIED.",,VGT,S BOUND,0930P,LAS VEGAS TRACON,VGT - CRQ,3 N LAS,"AT 7,000 FEET"
993,8/21/2021,NORTH CAROLINA,CHARLOTTE,"PRELIM INFO FROM FAA OPS: CHARLOTTE, NC/UAS INCIDENT/1343E/CHARLOTTE ATCT ADVISED , CRJ9, JAN - CLT, OBSERVED 4 UAS AT THE 12 O'CLOCK POSITION WHILE NORTHBOUND AT 5,000 FEET 20 S CHARLOTTE. NO EVASIVE ACTION TAKEN. ROCK HILL PD NOTIFIED.",,JAN,,1343E,CHARLOTTE ATCT,JAN - CLT,20 S CHARLOTTE,"AT 5,000 FEET"
994,8/21/2021,MASSACHUSETTS,VINEYARD HAVEN,"PRELIM INFO FROM FAA OPS: VINEYARD HAVEN, MA/UAS INCIDENT/1508E/MARTHA'S VINEYARD FCT ADVISED , PILATUS PC12, HPN - MVY, REPORTED A BLACK QUADCOPTER UAS WHILE SSE BOUND AT 900 FEET 2 NNE VINEYARD HAVEN. NO EVASIVE ACTION TAKEN. DUKES COUNTY SHERIFF NOTIFIED.",,MVY,SSE BOUND,1508E,,HPN - MVY,2 NNE VINEYARD HAVEN,AT 900 FEET
995,8/21/2021,FLORIDA,PENSACOLA,"PRELIM INFO FROM FAA OPS: PENSACOLA, FL/UAS INCIDENT/1509C/PENSACOLA ATCT ADVISED , PIPER PA28, PNS - PNS, REPORTED A WHITE UAS AT THE 3 O'CLOCK POSITION WHILE W BOUND AT 700 FEET 1 W PNS. NO EVASIVE ACTION TAKEN. RUNWAY OPERATIONS WERE CHANGED FROM RUNWAY 26 TO RUNWAY 17. PENSACOLA PD.",,PNS,W BOUND,1509C,PENSACOLA ATCT,PNS - PNS,1 W PNS,AT 700 FEET
996,8/21/2021,VIRGINIA,NORFOLK,"PRELIM INFO FROM FAA OPS: NORFOLK, VA/UAS INCIDENT/1755E/NORFOLK ATCT ADVISED , E170, ORF - ORD, REPORTED A BLACK UAS AT 12 O'CLOCK POSITION AT 7,500 FEET WHILE NW BOUND 11 NW NORFOLK. NO EVASIVE ACTION TAKEN. NORFOLK PD NOTIFIED.",,ORD,NW BOUND,1755E,NORFOLK ATCT,ORF - ORD,11 NW NORFOLK,"AT 7,500 FEET"
998,8/21/2021,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS INCIDENT/1858E/MIAMI ATCT ADVISED , B738, MIA - SAN JUAN, PUERTO RICO, REPORTED UAS AT 9 O'CLOCK POSITION AT 200 FEET WHILE E BOUND 1 E MIA. NO EVASIVE ACTION TAKEN. MIAMI PD HELO NOTIFIED VIA LOCAL FREQUENCY.",,SAN,E BOUND,1858E,MIAMI ATCT,"MIA - SAN JUAN, PUERTO RICO",1 E MIA,AT 200 FEET
1000,8/21/2021,PENNSYLVANIA,PHILADELPHIA,"PRELIM INFO FROM FAA OPS: PHILADELPHIA, PA/UAS INCIDENT/2023E/PHILADELPHIA TRACON ADVISED , CRJ7, MYR - PHL, REPORTED A YELLOW UAS FROM THE LEFT SIDE WHILE W BOUND AT 300 FEET 1 E PHILADELPHIA. NO EVASIVE ACTION TAKEN. PHILADELPHIA AIRPORT PD NOTIFIED.",,MYR,W BOUND,2023E,PHILADELPHIA TRACON,MYR - PHL,1 E PHILADELPHIA,AT 300 FEET
1001,8/21/2021,TEXAS,DALLAS,"PRELIM INFO FROM FAA OPS: DALLAS, TX/UAS INCIDENT/2027C/DALLAS LOVE FIELD ATCT ADVISED , BELL B06, REPORTED A UAS WHILE SE BOUND AT 1,400 FEET 3 S DALLAS LOVE FIELD. NO EVASIVE ACTION TAKEN. FT WORTH DPS NOTIFIED.",,B06,SE BOUND,2027C,DALLAS LOVE FIELD ATCT,,3 S DALLAS LOVE FIELD,"AT 1,400 FEET"
1002,8/21/2021,CALIFORNIA,LOS ANGELES,"PRELIM INFO FROM FAA OPS: LOS ANGELES, CA/UAS INCIDENT/1945P/SOCAL TRACON ADVISED , B38M, KONA, HI (PHKO) - LAX, REPORTED A UAS FROM THE RIGHT SIDE WHILE E BOUND AT 6,000 FEET 7 E LAX. NO INJURIES REPORTED. LAPD NOTIFIED.",,LAX,E BOUND,1945P,SOCAL TRACON,"KONA, HI (PHKO) - LAX",7 E LAX,"AT 6,000 FEET"
1003,8/22/2021,MINNESOTA,MINNEAPOLIS,"PRELIM INFO FROM FAA OPS: MINNEAPOLIS, MN/UAS INCIDENT/1130C/MINNEAPOLIS ATCT ADVISED , CRJ2, INL - MSP, REPORTED A BLACK QUADCOPTER UAS FROM THE 3 O'CLOCK POSITION WHILE SE BOUND AT 4,500 FEET 9 NW MSP. NO EVASIVE ACTION TAKEN. HENNEPIN COUNTY SHERIFF NOTIFIED.",,INL,SE BOUND,1130C,MINNEAPOLIS ATCT,INL - MSP,9 NW MSP,"AT 4,500 FEET"
1004,8/22/2021,CALIFORNIA,SACRAMENTO,"PRELIM INFO FROM FAA OPS: SACRAMENTO, CA/UAS INCIDENT/0849P/NORCAL TRACON ADVISED , VAN'S RV8, REPORTED A UAS OF UNSPECIFIED SIZE AND COLOR AT 4,200 FEET WHILE SE BOUND VCNTY SAC 3 (8 .42.31 N/121.14.18W) NO FURTHER DETAILS PROVIDED.",,SAC,SE BOUND,0849P,NORCAL TRACON,,,"AT 4,200 FEET"
1005,8/22/2021,TEXAS,HOUSTON,"PRELIM INFO FROM FAA OPS: HOUSTON, TX/UAS INCIDENT/1214C/HOUSTON TRACON ADVISED , E75L, IAH - SLC, REPORTED A 3 FOOT, WHITE UAS, POSSIBLY QUADCOPTER, PASS 500 FEET BELOW ACFT WHILE NNW BOUND AT 4,000 FEET 8 NNW IAH. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.",,IAH,NNW BOUND,1214C,HOUSTON TRACON,IAH - SLC,8 NNW IAH,"AT 4,000 FEET"
